project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
playwright-python,93.2115%,90.8277%,3.1989%,3.6380%,64.4909%,60.4027%,5.1096%,5.5854%,45.9530%,42.0582%,6.9074%,7.3783%,35.2480%,31.5436%,10.2740%,10.7306%,27.4151%,24.6085%,12.6812%,13.2850%,22.7154%,20.5817%,16.2313%,17.1642%,18.0157%,16.5548%,19.3820%,20.7865%,14.8825%,12.9754%,23.1707%,23.5772%,12.0104%,10.5145%,25.2747%,25.8242%,11.2272%,9.8434%,28.2895%,28.9474%,10.1828%,8.9485%,30.9524%,31.7460%,9.9217%,8.7248%,35.1852%,36.1111%,8.6162%,7.6063%,33.0000%,34.0000%,6.2663%,5.5928%,27.9070%,29.0698%,4.4386%,3.8031%,25.0000%,25.0000%,3.6554%,3.1320%,29.1667%,29.1667%,3.3943%,2.9083%,29.5455%,29.5455%,3.1332%,2.6846%,31.5789%,31.5789%,3.1332%,2.6846%,37.5000%,37.5000%,2.6110%,2.2371%,38.4615%,38.4615%
poetry,90.2703%,89.7989%,1.7864%,2.2285%,74.7748%,74.4253%,2.7064%,3.3781%,65.2252%,64.7989%,3.8833%,4.8380%,53.8739%,53.8793%,5.3033%,6.6513%,42.7027%,42.8161%,6.6201%,8.3240%,34.2342%,35.2011%,7.9564%,10.2596%,27.0270%,27.7299%,9.1687%,11.7971%,22.3423%,22.8448%,10.1639%,13.0328%,17.8378%,18.2471%,10.8791%,13.9560%,15.3153%,15.5172%,11.8056%,15.0000%,12.9730%,12.9310%,12.5874%,15.7343%,11.1712%,11.2069%,14.0271%,17.6471%,9.3694%,9.1954%,15.2941%,18.8235%,8.1081%,7.7586%,16.5441%,19.8529%,6.6667%,6.4655%,16.0870%,19.5652%,5.7658%,5.6034%,17.0213%,20.7447%,4.8649%,4.7414%,19.2857%,23.5714%,4.5045%,4.4540%,21.5517%,26.7241%,3.7838%,3.7356%,21.8750%,27.0833%,3.0631%,3.1609%,21.7949%,28.2051%
PokemonGo-Bot,73.2899%,71.0900%,4.3757%,5.8343%,58.6319%,55.9242%,6.8234%,8.9462%,45.9283%,45.4976%,9.7645%,13.2964%,36.8078%,36.7299%,13.0184%,17.8571%,26.7101%,27.9621%,13.5314%,19.4719%,20.1954%,21.5640%,13.0802%,19.1983%,16.2866%,17.7725%,12.9534%,19.4301%,11.4007%,13.5071%,11.7450%,19.1275%,7.4919%,9.2417%,9.6639%,16.3866%,6.8404%,7.8199%,10.3960%,16.3366%,6.1889%,7.3460%,11.7284%,19.1358%,4.8860%,6.1611%,12.0968%,20.9677%,3.5831%,4.9763%,11.4583%,21.8750%,2.9316%,4.5024%,10.9756%,23.1707%,2.9316%,4.5024%,12.8571%,27.1429%,2.6059%,4.0284%,12.9032%,27.4194%,2.2801%,3.5545%,13.4615%,28.8462%,1.6287%,3.0806%,11.3636%,29.5455%,1.3029%,2.3697%,12.5000%,31.2500%,1.3029%,2.3697%,16.6667%,41.6667%
poky,44.0443%,40.6349%,4.9502%,6.6418%,30.9326%,28.3175%,9.3419%,12.4373%,21.1450%,19.3651%,13.9805%,18.6203%,17.5439%,16.1905%,16.9946%,22.8086%,15.0508%,13.8413%,18.9095%,25.2900%,13.5734%,12.3810%,20.0272%,26.5668%,12.2807%,11.1111%,20.7165%,27.2586%,11.2650%,10.1587%,21.7857%,28.5714%,9.9723%,8.9524%,21.6000%,28.2000%,9.1413%,8.1270%,22.3982%,28.9593%,8.4949%,7.3651%,23.8342%,30.0518%,7.5716%,6.5397%,24.6988%,31.0241%,6.4635%,5.6508%,25.3623%,32.2464%,6.0942%,5.3333%,26.4000%,33.6000%,5.6325%,4.7619%,28.5047%,35.0467%,4.6168%,3.8730%,29.7619%,36.3095%,3.9705%,3.4286%,31.6176%,39.7059%,3.3241%,2.7937%,31.5789%,38.5965%,3.0471%,2.5397%,34.3750%,41.6667%,2.4931%,2.0952%,32.9268%,40.2439%
posthog,72.8006%,69.5873%,3.7060%,3.9484%,49.8386%,47.4656%,6.0450%,6.4170%,36.5214%,34.6850%,7.7021%,8.1532%,27.9257%,26.4301%,9.0861%,9.5851%,22.4778%,21.1803%,10.5413%,11.0712%,18.1195%,17.1253%,12.4653%,13.1316%,15.0121%,14.1564%,13.6064%,14.3014%,12.6715%,11.9479%,15.7631%,16.5663%,11.0977%,10.4272%,18.4070%,19.2771%,8.8378%,8.3635%,19.5187%,20.5882%,7.7078%,7.3497%,21.3170%,22.6563%,6.0936%,5.8291%,21.6332%,23.0659%,5.1251%,4.9240%,23.3456%,25.0000%,4.3180%,4.1636%,24.4292%,26.2557%,3.4302%,3.3671%,24.5665%,26.8786%,2.7038%,2.7154%,24.6324%,27.5735%,2.0581%,2.1361%,23.1818%,26.8182%,1.5738%,1.7017%,22.6744%,27.3256%,1.3317%,1.4844%,22.9167%,28.4722%,1.0492%,1.1948%,21.6667%,27.5000%
powerline,64.4205%,61.7978%,2.6884%,3.0934%,40.1617%,39.1011%,5.5763%,6.5120%,23.9892%,24.7191%,6.3937%,7.9023%,16.9811%,18.2022%,8.2461%,10.6021%,10.5121%,12.1348%,9.5588%,13.2353%,8.8949%,9.6629%,12.0438%,15.6934%,6.7385%,7.1910%,16.2338%,20.7792%,4.5822%,4.7191%,16.3462%,20.1923%,3.7736%,3.8202%,16.6667%,20.2381%,3.2345%,3.1461%,18.1818%,21.2121%,2.9650%,2.9213%,19.6429%,23.2143%,2.1563%,2.2472%,18.1818%,22.7273%,1.8868%,1.7978%,20.5882%,23.5294%,1.6173%,1.5730%,23.0769%,26.9231%,1.6173%,1.5730%,25.0000%,29.1667%,1.3477%,1.3483%,22.7273%,27.2727%,0.8086%,0.8989%,16.6667%,22.2222%,0.8086%,0.6742%,21.4286%,21.4286%,0.8086%,0.6742%,25.0000%,25.0000%,0.8086%,0.6742%,25.0000%,25.0000%
prefect,74.9822%,72.7774%,3.0066%,3.3827%,46.2687%,46.1680%,4.0825%,4.7222%,35.7498%,35.7449%,6.4175%,7.4381%,27.7896%,28.1422%,7.8831%,9.2540%,21.8195%,22.1337%,10.0987%,11.8750%,17.5551%,18.0871%,12.2520%,14.6329%,15.4940%,15.5120%,14.7099%,17.0715%,13.6461%,13.7339%,16.2437%,18.9509%,11.8692%,11.7719%,17.5789%,20.2105%,10.8742%,10.6683%,19.3671%,22.0253%,9.6660%,9.3807%,20.2985%,22.8358%,8.3866%,8.2158%,20.2055%,22.9452%,7.5338%,7.1735%,21.2851%,23.4940%,6.9652%,6.6217%,23.3333%,25.7143%,6.7520%,6.3765%,24.3590%,26.6667%,6.0412%,5.5794%,25.9146%,27.7439%,5.4726%,5.0276%,25.8389%,27.5168%,5.2594%,4.8437%,26.4286%,28.2143%,5.1883%,4.7210%,27.0370%,28.5185%,4.9041%,4.4758%,27.6000%,29.2000%
pritunl,52.2358%,59.5092%,1.0822%,1.6338%,21.3415%,27.4540%,1.0673%,1.8195%,10.3659%,13.9571%,1.5224%,2.7164%,6.9106%,9.0491%,2.6984%,4.6825%,5.6911%,7.2086%,4.4728%,7.5080%,4.6748%,5.2147%,7.1429%,10.5590%,3.6585%,4.2945%,8.4906%,13.2075%,2.6423%,2.6074%,10.6557%,13.9344%,2.2358%,2.3006%,13.0952%,17.8571%,1.2195%,1.3804%,12.0000%,18.0000%,1.0163%,1.2270%,12.5000%,20.0000%,1.0163%,1.2270%,13.1579%,21.0526%,0.8130%,1.0736%,11.1111%,19.4444%,0.6098%,0.7669%,9.3750%,15.6250%,0.6098%,0.7669%,11.5385%,19.2308%,0.6098%,0.6135%,15.0000%,20.0000%,0.6098%,0.6135%,15.0000%,20.0000%,0.4065%,0.3067%,12.5000%,12.5000%,0.4065%,0.3067%,14.2857%,14.2857%,0.4065%,0.3067%,20.0000%,20.0000%
psutil,93.7500%,94.5313%,2.9445%,3.3932%,78.5714%,79.6875%,4.7312%,5.4839%,68.7500%,71.0938%,6.5365%,7.7250%,63.3929%,64.8438%,8.8089%,10.2978%,61.6071%,63.2813%,10.9873%,12.8981%,56.2500%,57.0313%,12.4506%,14.4269%,55.3571%,55.4688%,13.4783%,15.4348%,54.4643%,54.6875%,14.8058%,16.9903%,50.0000%,50.0000%,14.9733%,17.1123%,45.5357%,45.3125%,15.0000%,17.0588%,42.8571%,42.9688%,15.6863%,17.9739%,39.2857%,38.2813%,15.2778%,17.0139%,37.5000%,36.7188%,16.2791%,18.2171%,35.7143%,35.1563%,16.5289%,18.5950%,35.7143%,35.1563%,17.5439%,19.7368%,33.0357%,32.8125%,17.7885%,20.1923%,29.4643%,29.6875%,17.9348%,20.6522%,29.4643%,29.6875%,18.3333%,21.1111%,28.5714%,28.9063%,18.8235%,21.7647%,26.7857%,27.3438%,18.7500%,21.8750%
pwndbg,86.3988%,86.0870%,2.5899%,2.7520%,80.9892%,80.7246%,2.9257%,3.1100%,74.1886%,73.3333%,3.5273%,3.7184%,66.1515%,65.5072%,3.6606%,3.8659%,61.8238%,61.0145%,3.8895%,4.0937%,58.5781%,57.3913%,4.8853%,5.1044%,53.9413%,53.0435%,5.7781%,6.0596%,44.9768%,44.6377%,7.6138%,8.0586%,37.4034%,37.1014%,9.3581%,9.8995%,29.0572%,28.9855%,11.9289%,12.6904%,23.4930%,23.4783%,15.2000%,16.2000%,19.1654%,18.9855%,19.6203%,20.7278%,12.8284%,12.8986%,22.5543%,24.1848%,9.5827%,9.8551%,26.9565%,29.5652%,7.1097%,7.3913%,31.9444%,35.4167%,4.3277%,4.6377%,34.1463%,39.0244%,2.4730%,2.6087%,38.0952%,42.8571%,1.3910%,1.4493%,37.5000%,41.6667%,0.7728%,0.8696%,35.7143%,42.8571%,0.3091%,0.4348%,25.0000%,37.5000%
