project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
12306,90.4348%,89.5833%,5.7778%,7.1667%,60.0000%,59.0278%,10.3604%,12.7628%,35.6522%,36.1111%,14.4366%,18.3099%,31.3043%,31.2500%,19.3548%,24.1935%,25.2174%,25.6944%,21.6418%,27.6119%,23.4783%,22.2222%,27.5510%,32.6531%,17.3913%,17.3611%,33.3333%,41.6667%,14.7826%,15.2778%,35.4167%,45.8333%,11.3043%,11.8056%,38.2353%,50.0000%,8.6957%,9.0278%,38.4615%,50.0000%,6.9565%,7.6389%,36.3636%,50.0000%,6.9565%,7.6389%,36.3636%,50.0000%,6.9565%,7.6389%,36.3636%,50.0000%,5.2174%,6.2500%,33.3333%,50.0000%,5.2174%,6.2500%,33.3333%,50.0000%,5.2174%,6.2500%,33.3333%,50.0000%,4.3478%,5.5556%,35.7143%,57.1429%,3.4783%,4.1667%,40.0000%,60.0000%,3.4783%,4.1667%,50.0000%,75.0000%,3.4783%,4.1667%,50.0000%,75.0000%
aiohttp,100.0000%,98.6166%,2.3181%,3.2955%,99.7151%,96.8379%,2.9215%,4.0902%,97.7208%,93.2806%,3.6969%,5.0873%,93.4473%,87.5494%,4.9220%,6.6477%,87.7493%,80.8300%,6.5310%,8.6726%,78.0627%,71.3439%,7.9054%,10.4155%,70.3704%,63.8340%,9.5960%,12.5486%,63.5328%,57.3123%,11.2286%,14.6022%,56.4103%,50.7905%,12.3288%,16.0025%,50.1425%,44.6640%,14.2626%,18.3144%,45.0142%,39.9209%,15.9274%,20.3629%,38.4615%,34.7826%,16.5848%,21.6216%,31.3390%,28.6561%,16.7683%,22.1037%,29.3447%,26.4822%,18.1979%,23.6749%,27.0655%,24.7036%,19.3878%,25.5102%,26.4957%,24.1107%,21.3303%,27.9817%,23.9316%,21.7391%,22.2222%,29.1005%,23.0769%,21.1462%,23.8235%,31.4706%,20.7977%,18.7747%,23.7013%,30.8442%,19.3732%,17.1937%,25.0000%,31.9853%
airflow,74.2222%,66.5012%,0.5290%,0.5943%,41.5556%,37.6817%,1.1320%,1.2869%,24.3111%,22.2616%,1.9596%,2.2498%,14.6667%,13.6122%,2.5365%,2.9516%,11.4222%,10.4573%,4.1094%,4.7170%,8.7556%,7.9050%,6.0615%,6.8615%,6.4000%,5.8135%,8.0357%,9.1518%,5.2000%,4.7501%,11.1855%,12.8107%,3.9111%,3.6512%,13.5385%,15.8462%,3.0667%,2.9422%,15.1982%,18.2819%,2.4444%,2.4105%,16.1765%,20.0000%,2.0000%,2.0206%,16.6667%,21.1111%,1.7333%,1.7370%,18.5714%,23.3333%,1.5556%,1.5243%,19.6629%,24.1573%,1.2000%,1.2407%,18.0000%,23.3333%,1.0667%,1.1343%,18.4615%,24.6154%,0.9778%,1.0280%,20.0000%,26.3636%,0.8889%,0.9571%,20.0000%,27.0000%,0.8889%,0.9571%,21.2766%,28.7234%,0.8444%,0.9217%,21.5909%,29.5455%
albumentations,98.9796%,99.1071%,7.2280%,8.2712%,79.5918%,81.2500%,9.8985%,11.5482%,60.2041%,61.6071%,12.1399%,14.1975%,51.0204%,52.6786%,14.7929%,17.4556%,37.7551%,39.2857%,14.9194%,17.7419%,34.6939%,36.6071%,18.6813%,22.5275%,26.5306%,29.4643%,17.8082%,22.6027%,25.5102%,28.5714%,20.1613%,25.8065%,18.3673%,20.5357%,18.7500%,23.9583%,14.2857%,16.9643%,18.9189%,25.6757%,13.2653%,15.1786%,21.6667%,28.3333%,12.2449%,14.2857%,22.2222%,29.6296%,8.1633%,10.7143%,18.1818%,27.2727%,8.1633%,10.7143%,19.0476%,28.5714%,8.1633%,10.7143%,20.0000%,30.0000%,8.1633%,10.7143%,21.0526%,31.5789%,7.1429%,9.8214%,20.5882%,32.3529%,7.1429%,9.8214%,20.5882%,32.3529%,7.1429%,9.8214%,21.8750%,34.3750%,7.1429%,9.8214%,23.3333%,36.6667%
allennlp,72.7467%,72.4166%,1.8115%,1.8711%,43.9556%,43.9275%,2.5314%,2.6248%,32.6356%,32.6472%,3.1443%,3.2636%,24.8612%,25.0720%,3.5217%,3.6851%,19.4361%,19.8024%,4.2310%,4.4728%,15.7625%,16.1383%,5.7032%,6.0587%,12.7296%,12.9271%,7.9087%,8.3333%,10.0812%,10.1276%,10.4889%,10.9333%,7.6463%,7.6986%,12.7857%,13.3571%,5.7240%,5.8049%,13.9583%,14.6875%,4.5280%,4.5286%,17.7258%,18.3946%,3.4173%,3.4170%,20.6186%,21.3918%,2.8193%,2.8407%,24.2647%,25.3676%,2.3921%,2.3878%,24.1379%,25.0000%,2.1786%,2.1820%,25.2475%,26.2376%,1.5378%,1.5233%,22.5000%,23.1250%,1.1106%,1.1116%,22.0339%,22.8814%,0.8116%,0.8234%,19.7917%,20.8333%,0.6408%,0.6587%,18.7500%,20.0000%,0.3845%,0.4117%,14.5161%,16.1290%
allura,93.6063%,93.7787%,0.6562%,0.9261%,84.0517%,81.3361%,1.1954%,1.6297%,70.2586%,66.4457%,2.2894%,3.0502%,55.1006%,52.1163%,4.0496%,5.3960%,43.8937%,41.4074%,6.8713%,9.1318%,34.5546%,32.8404%,9.1514%,12.2527%,28.1609%,26.8740%,11.4086%,15.3376%,23.2040%,22.5905%,13.0347%,17.8773%,19.3966%,19.1739%,14.8352%,20.6593%,15.9483%,16.1652%,15.5245%,22.1678%,14.3678%,14.5334%,16.7504%,23.8693%,12.1408%,12.5446%,17.0707%,24.8485%,10.4167%,11.1678%,17.4279%,26.3221%,9.3391%,9.9439%,18.1564%,27.2346%,8.1178%,8.9240%,18.4039%,28.5016%,6.6092%,7.5472%,17.9688%,28.9063%,5.9626%,6.6293%,18.4444%,28.8889%,5.6034%,6.3233%,19.5980%,31.1558%,5.4598%,6.0173%,20.7650%,32.2404%,4.8851%,5.2524%,21.1180%,31.9876%
altair,93.8889%,83.4862%,1.1020%,1.1868%,67.7778%,58.2569%,4.6743%,4.8659%,40.5556%,34.8624%,10.9281%,11.3772%,23.3333%,19.2661%,15.6716%,15.6716%,14.4444%,11.9266%,16.6667%,16.6667%,11.6667%,9.6330%,19.4444%,19.4444%,9.4444%,7.7982%,19.7674%,19.7674%,7.2222%,5.9633%,20.3125%,20.3125%,6.6667%,5.5046%,20.6897%,20.6897%,5.0000%,4.1284%,21.4286%,21.4286%,3.8889%,3.2110%,18.4211%,18.4211%,3.3333%,2.7523%,17.6471%,17.6471%,2.2222%,1.8349%,15.3846%,15.3846%,2.2222%,1.8349%,22.2222%,22.2222%,2.2222%,1.8349%,25.0000%,25.0000%,2.2222%,1.8349%,25.0000%,25.0000%,2.2222%,1.8349%,28.5714%,28.5714%,1.1111%,0.9174%,20.0000%,20.0000%,1.1111%,0.9174%,20.0000%,20.0000%,1.1111%,0.9174%,20.0000%,20.0000%
androguard,91.7098%,92.3077%,4.1394%,6.1740%,81.8653%,83.5664%,5.7413%,8.6846%,72.5389%,73.4266%,7.0707%,10.6061%,65.2850%,65.7343%,9.5599%,14.2640%,56.9948%,58.7413%,11.7521%,17.9487%,52.3316%,53.4965%,14.1854%,21.4888%,47.1503%,48.2517%,17.1053%,25.9398%,41.4508%,42.6573%,20.2020%,30.8081%,37.3057%,38.1119%,22.6415%,34.2767%,34.7150%,34.9650%,24.8148%,37.0370%,30.5699%,30.0699%,27.8302%,40.5660%,27.4611%,26.9231%,29.1209%,42.3077%,25.3886%,25.1748%,30.2469%,44.4444%,20.7254%,20.9790%,30.3030%,45.4545%,18.6528%,18.8811%,33.3333%,50.0000%,17.6166%,17.8322%,34.6939%,52.0408%,13.4715%,13.9860%,33.3333%,51.2821%,12.4352%,12.5874%,33.3333%,50.0000%,9.8446%,9.7902%,33.9286%,50.0000%,8.8083%,8.3916%,35.4167%,50.0000%
angr,82.4000%,70.9874%,1.3732%,2.2096%,43.6211%,42.2453%,2.2923%,4.1466%,29.5158%,29.7115%,3.6837%,6.9259%,20.0421%,20.9197%,5.0931%,9.9294%,12.6316%,14.0442%,6.2999%,13.0827%,8.3789%,10.0090%,7.2787%,16.2399%,5.7684%,7.1912%,9.1090%,21.2101%,4.4211%,5.0271%,11.5894%,24.6137%,3.4947%,3.7196%,13.9262%,27.6846%,2.4000%,2.6375%,14.3939%,29.5455%,1.7263%,1.9612%,14.8551%,31.5217%,1.3895%,1.5104%,16.0194%,32.5243%,1.3474%,1.3075%,20.0000%,36.2500%,0.9263%,1.0144%,17.1875%,35.1563%,0.7158%,0.7890%,18.0851%,37.2340%,0.5053%,0.6087%,17.1429%,38.5714%,0.4632%,0.5636%,18.9655%,43.1034%,0.4632%,0.5410%,23.9130%,52.1739%,0.3789%,0.4283%,25.0000%,52.7778%,0.3789%,0.4283%,28.1250%,59.3750%
anki,86.4105%,89.0859%,3.3051%,4.6817%,67.9475%,72.7831%,6.2912%,9.2589%,56.3261%,59.4816%,9.9339%,14.4132%,46.8604%,49.0450%,11.7647%,16.9176%,38.9878%,41.1323%,13.0000%,18.8438%,33.5520%,34.5157%,14.4122%,20.3704%,29.8032%,29.7408%,15.8052%,21.6700%,27.1790%,27.0123%,17.0588%,23.2941%,24.5548%,24.1473%,18.4248%,24.8945%,21.3683%,20.9413%,19.2568%,25.9291%,19.4939%,18.8950%,21.3552%,28.4394%,18.1818%,17.4625%,24.1294%,31.8408%,16.5886%,15.7572%,25.9531%,33.8710%,14.2455%,13.5061%,27.2401%,35.4839%,12.4649%,11.9372%,27.9412%,36.7647%,11.2465%,10.7094%,29.8507%,39.0547%,10.5904%,10.0273%,34.6626%,45.0920%,9.6532%,9.0041%,37.5912%,48.1752%,8.4349%,7.9809%,38.4615%,50.0000%,7.0291%,6.6849%,39.4737%,51.5789%
ansible,40.6490%,39.2688%,0.1896%,0.2244%,17.7587%,18.1364%,0.1643%,0.2055%,9.8486%,10.2657%,0.1740%,0.2221%,6.1165%,6.3643%,0.2805%,0.3575%,4.2712%,4.3500%,0.5144%,0.6417%,3.1827%,3.2160%,0.8894%,1.1009%,2.4570%,2.4712%,1.2659%,1.5597%,1.9490%,1.9634%,1.4592%,1.8007%,1.6587%,1.6503%,1.5729%,1.9170%,1.1818%,1.2271%,1.3899%,1.7679%,1.0056%,1.0494%,1.4800%,1.8920%,0.7257%,0.8040%,1.4362%,1.9491%,0.6220%,0.6770%,1.6349%,2.1798%,0.4769%,0.5332%,1.6825%,2.3043%,0.4250%,0.4655%,2.0855%,2.7976%,0.3628%,0.4062%,2.4683%,3.3850%,0.3110%,0.3385%,3.1056%,4.1408%,0.2695%,0.2793%,4.1667%,5.2885%,0.2281%,0.2370%,6.9620%,8.8608%,0.2177%,0.2285%,11.9318%,15.3409%
ArchiveBox,84.4037%,82.2350%,7.7268%,8.0347%,62.0795%,59.8854%,11.7477%,12.0949%,39.1437%,38.3954%,11.1888%,11.7133%,27.8287%,27.2206%,15.2685%,15.9396%,19.8777%,19.1977%,15.8537%,16.3415%,12.8440%,12.6074%,15.4412%,16.1765%,9.4801%,9.1691%,16.6667%,17.2043%,6.7278%,6.5903%,26.8293%,28.0488%,4.8930%,4.8711%,38.0952%,40.4762%,3.3639%,3.4384%,42.3077%,46.1538%,3.0581%,2.8653%,45.4545%,45.4545%,1.8349%,1.7192%,50.0000%,50.0000%,1.8349%,1.7192%,50.0000%,50.0000%,1.5291%,1.4327%,50.0000%,50.0000%,1.2232%,1.1461%,50.0000%,50.0000%,0.9174%,0.8596%,50.0000%,50.0000%,0.6116%,0.5731%,50.0000%,50.0000%,0.6116%,0.5731%,50.0000%,50.0000%,0.3058%,0.2865%,50.0000%,50.0000%,0.3058%,0.2865%,50.0000%,50.0000%
astroquery,86.5979%,79.2763%,1.3941%,1.5999%,71.3402%,63.9803%,2.7565%,3.0991%,56.0825%,48.5197%,4.4722%,4.8504%,42.2680%,35.5263%,6.3983%,6.7416%,32.7835%,27.4671%,8.4216%,8.8453%,24.1237%,20.5592%,8.8369%,9.4411%,19.3814%,16.7763%,9.3254%,10.1190%,14.8454%,12.8289%,9.0000%,9.7500%,13.1959%,11.5132%,9.6970%,10.6061%,9.8969%,8.7171%,9.3385%,10.3113%,7.6289%,6.7434%,10.2778%,11.3889%,6.5979%,5.9211%,12.9032%,14.5161%,5.7732%,5.2632%,16.0920%,18.3908%,4.5361%,4.1118%,19.2982%,21.9298%,4.1237%,3.6184%,23.8095%,26.1905%,3.2990%,2.9605%,25.0000%,28.1250%,2.6804%,2.4671%,32.5000%,37.5000%,2.6804%,2.4671%,34.2105%,39.4737%,2.2680%,2.1382%,34.3750%,40.6250%,1.0309%,0.9868%,31.2500%,37.5000%
asyncpg,93.7500%,93.9394%,2.1994%,4.5455%,71.8750%,83.3333%,2.6376%,6.3073%,59.3750%,72.7273%,4.5673%,11.5385%,50.0000%,63.6364%,7.4766%,19.6262%,46.8750%,60.6061%,11.3636%,30.3030%,37.5000%,48.4848%,12.7660%,34.0426%,31.2500%,37.8788%,14.2857%,35.7143%,28.1250%,34.8485%,17.3077%,44.2308%,21.8750%,27.2727%,17.5000%,45.0000%,21.8750%,25.7576%,19.4444%,47.2222%,21.8750%,24.2424%,21.8750%,50.0000%,21.8750%,24.2424%,23.3333%,53.3333%,18.7500%,22.7273%,21.4286%,53.5714%,15.6250%,21.2121%,20.8333%,58.3333%,15.6250%,21.2121%,22.7273%,63.6364%,9.3750%,16.6667%,16.6667%,61.1111%,9.3750%,15.1515%,18.7500%,62.5000%,3.1250%,10.6061%,8.3333%,58.3333%,3.1250%,7.5758%,12.5000%,62.5000%,3.1250%,7.5758%,12.5000%,62.5000%
attrs,76.2295%,74.8148%,15.5000%,16.8333%,55.7377%,52.5926%,18.4783%,19.2935%,44.2623%,41.4815%,21.6000%,22.4000%,33.6066%,31.1111%,22.7778%,23.3333%,27.0492%,25.1852%,23.9130%,24.6377%,22.1311%,20.7407%,27.5510%,28.5714%,17.2131%,15.5556%,27.6316%,27.6316%,13.1148%,11.8519%,26.6667%,26.6667%,11.4754%,10.3704%,28.0000%,28.0000%,10.6557%,9.6296%,34.2105%,34.2105%,9.8361%,8.8889%,35.2941%,35.2941%,7.3770%,6.6667%,34.6154%,34.6154%,7.3770%,6.6667%,37.5000%,37.5000%,6.5574%,5.9259%,36.3636%,36.3636%,6.5574%,5.9259%,40.0000%,40.0000%,5.7377%,5.1852%,38.8889%,38.8889%,4.9180%,4.4444%,37.5000%,37.5000%,4.9180%,4.4444%,37.5000%,37.5000%,4.0984%,3.7037%,35.7143%,35.7143%,3.2787%,2.9630%,40.0000%,40.0000%
boto,72.4654%,70.1906%,2.9432%,3.4809%,39.0028%,38.7024%,6.9966%,8.4774%,23.2133%,23.4120%,12.2086%,15.0350%,14.9030%,15.5626%,15.3015%,19.5108%,10.6371%,11.5699%,18.5328%,24.6139%,8.3102%,9.1652%,22.2552%,29.9703%,6.8698%,7.3956%,27.6786%,36.3839%,5.2078%,5.8530%,27.6471%,37.9412%,4.1551%,4.7187%,29.5276%,40.9449%,3.4903%,3.7659%,31.8182%,41.9192%,3.1025%,3.4029%,32.1839%,43.1034%,2.6039%,2.9038%,33.0986%,45.0704%,2.3269%,2.5862%,33.8710%,45.9677%,1.9945%,2.2232%,34.6154%,47.1154%,1.7175%,1.9510%,35.2273%,48.8636%,1.5512%,1.6788%,35.8974%,47.4359%,1.4958%,1.6334%,36.4865%,48.6486%,1.1634%,1.2704%,40.3846%,53.8462%,0.8864%,1.0436%,40.0000%,57.5000%,0.8310%,0.9982%,39.4737%,57.8947%
calibre,83.4979%,81.8727%,0.7690%,1.0841%,55.1168%,54.4474%,2.0691%,2.9386%,34.6654%,35.1210%,4.3183%,6.2900%,22.9431%,22.7382%,9.0943%,12.9581%,15.6402%,15.1079%,14.5779%,20.2454%,11.6126%,10.9549%,19.7811%,26.8286%,8.9171%,8.4696%,22.6693%,30.9562%,7.2559%,6.9217%,25.0813%,34.3987%,5.7828%,5.4284%,27.4554%,37.0536%,4.8425%,4.5673%,29.2614%,39.6780%,3.9649%,3.7824%,30.2632%,41.5072%,3.4164%,3.2156%,31.8713%,43.1287%,2.9306%,2.7469%,31.9113%,43.0034%,2.6015%,2.4526%,33.6032%,45.5466%,2.3037%,2.1256%,33.8710%,44.9309%,2.0686%,1.8967%,33.8462%,44.6154%,1.8179%,1.6569%,34.3195%,44.9704%,1.6142%,1.4606%,34.3333%,44.6667%,1.4418%,1.2862%,34.8485%,44.6970%,1.3321%,1.2099%,35.1240%,45.8678%
cassandra-dtest,88.5442%,88.3408%,2.6346%,2.7979%,50.8353%,51.7937%,2.5663%,2.7831%,36.2768%,35.8744%,2.9041%,3.0569%,23.6277%,22.8700%,2.5835%,2.6618%,17.8998%,17.4888%,2.6006%,2.7046%,16.2291%,15.9193%,3.0937%,3.2302%,14.3198%,14.1256%,3.4522%,3.6249%,13.3652%,13.2287%,4.1420%,4.3639%,9.7852%,9.8655%,4.0117%,4.3053%,8.3532%,8.5202%,4.5337%,4.9223%,7.3986%,7.6233%,5.4577%,5.9859%,6.6826%,6.7265%,6.5728%,7.0423%,5.0119%,5.1570%,7.0470%,7.7181%,3.1026%,3.1390%,6.3725%,6.8627%,3.1026%,3.1390%,8.7838%,9.4595%,2.6253%,2.6906%,10.0000%,10.9091%,2.3866%,2.4664%,11.9048%,13.0952%,1.9093%,2.0179%,13.3333%,15.0000%,1.9093%,2.0179%,16.6667%,18.7500%,1.9093%,2.0179%,18.1818%,20.4545%
celery,97.1379%,96.7876%,1.3215%,1.9197%,82.1336%,82.3319%,1.6272%,2.3781%,65.8283%,67.9952%,1.6855%,2.5382%,52.1249%,52.0523%,2.0512%,2.9863%,45.0997%,43.3076%,2.8178%,3.9449%,40.9367%,38.7864%,4.0095%,5.5386%,36.0798%,34.5033%,4.3406%,6.0518%,32.2637%,30.9340%,4.6840%,6.5475%,28.1006%,26.8293%,4.8972%,6.8168%,24.0243%,23.2600%,5.0364%,7.1091%,21.2489%,20.8804%,5.3400%,7.6504%,18.9072%,18.6794%,5.7248%,8.2458%,16.6522%,16.3593%,6.1224%,8.7691%,14.1370%,14.0988%,6.2789%,9.1294%,12.4024%,12.8495%,6.5178%,9.8450%,11.3617%,12.0167%,7.0811%,10.9189%,10.4944%,11.3028%,7.5436%,11.8454%,9.3669%,10.1725%,7.9646%,12.6106%,8.4996%,9.0422%,8.3475%,12.9472%,7.4588%,8.1499%,8.6694%,13.8105%
cerbero,56.1275%,52.3529%,12.6519%,14.7514%,31.1275%,28.4314%,22.2028%,25.3497%,18.6275%,16.8627%,28.1481%,31.8519%,9.8039%,9.4118%,28.5714%,34.2857%,4.6569%,4.5098%,27.1429%,32.8571%,3.6765%,3.7255%,32.6087%,41.3043%,2.6961%,2.9412%,32.3529%,44.1176%,1.9608%,1.9608%,33.3333%,41.6667%,1.2255%,1.3725%,41.6667%,58.3333%,0.9804%,1.1765%,40.0000%,60.0000%,0.9804%,1.1765%,40.0000%,60.0000%,0.7353%,0.9804%,37.5000%,62.5000%,0.7353%,0.7843%,50.0000%,66.6667%,0.4902%,0.5882%,50.0000%,75.0000%,0.4902%,0.5882%,50.0000%,75.0000%,0.4902%,0.5882%,50.0000%,75.0000%,0.4902%,0.5882%,50.0000%,75.0000%,0.4902%,0.5882%,50.0000%,75.0000%,0.2451%,0.1961%,50.0000%,50.0000%,0.2451%,0.1961%,50.0000%,50.0000%
certbot,76.1099%,73.5751%,2.8800%,3.4080%,49.4715%,50.2591%,4.4084%,5.4823%,34.8837%,36.7876%,5.7292%,7.3958%,27.4841%,29.3610%,7.0806%,9.2593%,21.5645%,23.1434%,8.0569%,10.5845%,17.9704%,18.9983%,8.9286%,11.5546%,15.0106%,16.0622%,8.8529%,11.5960%,12.8964%,14.1623%,8.7644%,11.7816%,10.9937%,11.3990%,8.4691%,10.7492%,10.7822%,10.8808%,9.1071%,11.2500%,8.8795%,8.9810%,8.1712%,10.1167%,7.6110%,7.7720%,7.3469%,9.1837%,7.3996%,6.9085%,7.6419%,8.7336%,5.4968%,5.1813%,6.0748%,7.0093%,5.2854%,4.8359%,5.9524%,6.6667%,4.6512%,4.3178%,5.4187%,6.1576%,4.4397%,4.1451%,5.1980%,5.9406%,4.2283%,3.9724%,5.0000%,5.7500%,3.8055%,3.4542%,4.5918%,5.1020%,3.5941%,3.2815%,4.3590%,4.8718%
ChatterBot,69.0722%,69.7368%,3.6672%,4.3514%,46.9072%,47.3684%,8.0247%,9.5238%,36.0825%,35.5263%,13.2576%,15.3409%,25.7732%,25.0000%,15.3374%,17.4847%,21.1340%,20.6140%,16.9421%,19.4215%,15.9794%,15.7895%,17.0330%,19.7802%,13.9175%,13.1579%,19.5652%,21.7391%,12.8866%,12.2807%,24.0385%,26.9231%,8.2474%,7.4561%,23.5294%,25.0000%,7.7320%,7.0175%,25.0000%,26.6667%,7.2165%,6.5789%,26.9231%,28.8462%,4.6392%,4.3860%,26.4706%,29.4118%,2.0619%,2.1930%,15.3846%,19.2308%,1.5464%,1.7544%,16.6667%,22.2222%,1.0309%,1.3158%,12.5000%,18.7500%,0.5155%,0.8772%,7.1429%,14.2857%,0.5155%,0.8772%,8.3333%,16.6667%,0.5155%,0.8772%,8.3333%,16.6667%,0.5155%,0.8772%,10.0000%,20.0000%,0.5155%,0.8772%,10.0000%,20.0000%
cherrypy,97.2067%,98.4709%,1.7045%,3.1544%,93.8547%,95.4128%,1.7991%,3.3412%,90.5028%,92.0489%,1.8363%,3.4119%,87.7095%,89.2966%,1.8971%,3.5283%,86.0335%,87.4618%,1.9995%,3.7133%,82.1229%,85.0153%,2.0810%,3.9354%,76.5363%,78.8991%,2.3427%,4.4118%,71.5084%,74.3119%,2.7790%,5.2757%,65.3631%,66.3609%,3.2518%,6.0311%,59.7765%,59.3272%,3.7439%,6.7880%,52.5140%,51.9878%,4.1301%,7.4692%,46.9274%,45.5657%,4.6103%,8.1778%,40.7821%,38.8379%,5.1408%,8.9437%,35.7542%,34.5566%,5.5846%,9.8604%,30.1676%,30.2752%,6.0268%,11.0491%,25.1397%,26.2997%,6.5982%,12.6100%,21.2291%,21.7125%,7.1698%,13.3962%,18.4358%,19.2661%,8.1281%,15.5172%,16.2011%,17.7370%,8.9506%,17.9012%,14.5251%,15.2905%,9.4203%,18.1159%
cobbler,85.5000%,89.9390%,2.2542%,3.8887%,72.0000%,79.2683%,2.4751%,4.4689%,64.0000%,70.4268%,2.8046%,5.0613%,54.5000%,60.0610%,3.1304%,5.6577%,44.0000%,50.6098%,3.3409%,6.3022%,36.0000%,43.9024%,3.4716%,6.9431%,32.5000%,38.4146%,3.9299%,7.6179%,28.5000%,35.0610%,4.3779%,8.8326%,25.5000%,32.0122%,4.7486%,9.7765%,24.5000%,30.7927%,5.4084%,11.1479%,20.0000%,26.8293%,5.3050%,11.6711%,16.5000%,23.1707%,5.1242%,11.8012%,15.5000%,21.9512%,5.7621%,13.3829%,13.5000%,19.8171%,5.6962%,13.7131%,13.0000%,19.2073%,6.0185%,14.5833%,12.5000%,18.2927%,6.3452%,15.2284%,12.5000%,18.2927%,6.6489%,15.9574%,12.5000%,17.6829%,7.0225%,16.2921%,12.0000%,17.3780%,7.3171%,17.3780%,10.0000%,15.8537%,6.5789%,17.1053%
dagster,75.4083%,73.8319%,0.5501%,0.6219%,49.2369%,48.9623%,1.2157%,1.3959%,35.8099%,35.4435%,2.8302%,3.2344%,26.2383%,25.8667%,5.4651%,6.2207%,19.7724%,19.6058%,7.2466%,8.2965%,15.2477%,15.1768%,8.5523%,9.8288%,12.1821%,11.9768%,9.8464%,11.1772%,9.6921%,9.4609%,10.8254%,12.2010%,8.1526%,7.9188%,11.7477%,13.1752%,6.8942%,6.7246%,12.4037%,13.9692%,5.7162%,5.5884%,12.3840%,13.9791%,4.8728%,4.7652%,12.3978%,13.9986%,4.2303%,4.0580%,12.3341%,13.6612%,3.6145%,3.4551%,12.1076%,13.3632%,3.0924%,2.9565%,11.6549%,12.8658%,2.7577%,2.6319%,11.3938%,12.5553%,2.4096%,2.2957%,10.7784%,11.8563%,1.9545%,1.8667%,9.5550%,10.5366%,1.7805%,1.6928%,9.0971%,9.9863%,1.5261%,1.4725%,8.2133%,9.1499%
dask,95.0000%,94.1262%,2.6058%,3.1789%,90.0000%,89.1226%,3.1398%,3.8282%,83.3036%,81.8709%,4.4925%,5.4362%,74.5536%,72.9514%,6.3200%,7.6143%,65.2679%,64.3945%,8.4197%,10.2281%,56.9643%,55.9826%,10.7807%,13.0449%,49.2857%,48.3684%,13.6028%,16.4367%,42.2321%,41.2618%,15.7352%,18.9288%,37.2321%,36.0406%,18.6161%,22.1875%,32.8571%,31.8347%,21.5962%,25.7629%,28.7500%,27.9188%,23.8166%,28.4763%,26.0714%,24.8731%,26.8382%,31.5257%,22.9464%,21.9724%,28.5556%,33.6667%,20.0000%,19.2893%,29.4737%,35.0000%,17.7679%,17.1139%,31.1912%,36.9906%,16.9643%,16.0261%,34.1727%,39.7482%,15.0893%,14.2132%,37.3894%,43.3628%,13.9286%,13.0529%,38.8060%,44.7761%,12.6786%,11.9652%,39.0110%,45.3297%,11.4286%,10.8774%,40.5063%,47.4684%
datasets,69.0967%,66.5779%,0.1154%,0.1323%,41.3629%,38.4820%,0.2993%,0.3314%,26.6244%,24.2344%,0.7409%,0.8026%,17.9081%,15.8455%,0.9028%,0.9508%,13.9461%,12.3835%,1.8917%,1.9991%,10.3011%,9.1877%,4.1774%,4.4344%,8.0824%,7.1904%,13.2124%,13.9896%,6.8146%,6.1252%,21.9388%,23.4694%,5.0713%,4.5273%,22.2222%,23.6111%,4.7544%,4.1278%,28.3019%,29.2453%,4.2789%,3.7284%,38.5714%,40.0000%,3.0111%,2.6631%,39.5833%,41.6667%,2.3772%,2.1305%,37.5000%,40.0000%,2.2187%,1.9973%,36.8421%,39.4737%,2.0602%,1.8642%,40.6250%,43.7500%,1.9017%,1.7310%,40.0000%,43.3333%,1.5848%,1.4647%,38.4615%,42.3077%,1.5848%,1.4647%,38.4615%,42.3077%,1.1094%,0.9321%,35.0000%,35.0000%,1.1094%,0.9321%,35.0000%,35.0000%
