project,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
sphinx,104120,72892,56524,48676,42090,35922,29174,24270,20380,17392,14640,12256,10420,8874,7512,6474,5606,4764,4046,3470
spiderfoot,174612,158960,84372,73096,71478,70160,69200,68178,67576,66026,64346,61038,56442,43750,20906,10026,6248,3778,2320,1526
spyder,40210,13302,6518,3572,2228,1514,1044,756,568,436,344,288,228,200,162,140,122,110,100,96
sqlalchemy,205428,171590,114214,83080,64960,53790,46216,41380,37206,32972,29838,27276,23948,20050,16842,14030,11670,9600,7838,6404
sqlmap,162488,146862,87672,79000,74334,71754,68044,66510,63234,58802,55544,52576,48826,47458,45610,42812,41382,38626,34676,29752
statsmodels,376172,160196,77440,41978,23734,13882,8360,5270,3286,2028,1216,888,662,518,418,336,278,232,206,180
streamlink,78356,36562,17030,8336,4136,1844,764,328,140,62,42,28,24,18,16,16,16,14,14,14
SUMMARY_RESULTS,23346372,10799168,6590282,4404330,3027070,2158212,1464692,1069782,808434,656658,517092,438404,379060,325922,270842,227164,197722,165742,132144,104234
superset,106350,43578,27942,17198,13048,5940,2630,1810,1310,1060,838,678,540,458,402,348,316,276,242,222
supervisor,3606,2598,1348,696,374,240,176,134,86,70,56,48,36,30,20,16,16,14,12,12
sympy,500296,302940,193616,128920,88468,61064,43072,31458,23386,17642,13584,10632,8578,7094,5924,5020,4204,3596,3134,2758
synapse,357446,166020,85286,46884,28138,17320,11244,7544,5352,3960,2914,2246,1758,1446,1212,1048,892,758,664,572
sync-engine,64100,11818,6348,4236,2824,1876,1442,980,756,628,496,392,334,278,238,188,168,148,122,104
taiga-back,347842,330940,305706,259200,166490,158506,121888,114492,86716,71266,21166,9014,4470,2590,1654,1108,796,604,450,378
Telethon,3694,1554,890,594,464,388,306,234,178,142,124,96,78,52,46,40,34,28,22,20
tensor2tensor,203400,192552,159520,102958,47404,33658,21548,10470,6542,4626,2794,1870,1328,980,748,584,456,376,292,256
tensorboardX,1458,514,140,78,50,34,20,14,10,6,6,6,6,4,2,2,2,2,2,2
tensorlayer,38928,22918,15642,13224,10694,6458,4350,3232,2704,2362,2100,1804,1598,1262,1006,824,728,632,532,420
tensorpack,37692,22430,12988,8218,5698,4022,2900,2062,1516,1110,830,652,502,396,342,268,222,194,156,126
textual,2148,1230,780,550,428,316,254,198,162,138,122,96,78,64,62,50,50,42,40,34
