project,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
mycroft-core,11064,4360,2212,1176,740,558,384,238,170,122,88,68,50,30,18,12,10,8,6,6
mypaint,14632,11146,6888,4712,3292,2392,1740,1300,1032,824,640,502,406,336,284,226,188,160,134,126
mypy,34554,12298,7902,5338,3884,2964,2408,2016,1682,1450,1274,1084,960,856,776,686,628,574,538,500
nameko,4886,2376,1390,1028,796,624,526,448,362,306,260,210,186,170,152,132,126,106,94,86
neon,50364,21444,11076,5522,2876,1690,1066,770,534,418,328,254,182,110,68,56,38,36,30,26
netbox,19662,9174,5696,3442,2210,1536,1236,972,788,658,562,466,412,374,346,314,278,252,210,182
networkx,98710,33476,14236,8126,4724,2866,1836,1230,848,634,438,344,240,184,156,126,98,88,74,66
newspaper,632,508,434,378,330,298,262,204,178,142,116,82,64,52,38,34,28,22,18,18
nltk,109562,70010,64810,62776,57716,42272,36032,34134,33042,31764,30578,28916,25496,21886,18526,15502,12518,9482,6668,4630
node-gyp,2292,2078,1748,1198,810,606,424,308,238,204,168,100,70,40,24,16,16,8,8,2
nose,10456,2466,1336,868,546,358,262,184,146,114,84,68,50,40,30,26,18,16,14,8
nova,240390,89888,48122,31134,21436,14814,10064,7204,5556,4396,3596,3012,2616,2238,1962,1734,1552,1392,1264,1132
numba,115270,53748,36726,15794,8130,4352,2172,1150,616,388,272,188,142,118,90,76,64,56,38,32
objection,2056,586,282,136,62,38,20,16,14,12,10,6,6,6,6,6,4,4,2,2
OCRmyPDF,4514,2270,1280,838,600,458,342,274,202,162,122,104,88,72,60,48,38,20,18,12
OctoPrint,41168,39814,33346,22858,13494,8318,5104,3438,2556,1936,1506,1180,930,762,628,526,444,362,304,260
ODM,1844,634,404,264,188,152,112,88,60,40,34,30,22,20,16,12,12,12,10,10
offlineimap,1284,884,716,570,432,352,278,238,200,176,154,130,112,98,80,72,66,58,52,42
OneForAll,6378,5392,4732,3720,2514,1466,494,246,132,54,34,32,28,16,14,12,12,6,6,2
OpenNMT-py,6100,3758,2646,1744,1020,672,484,338,250,200,150,124,94,82,72,66,58,52,44,36
oppia,407298,249976,160710,119978,83396,55568,37228,26548,19440,14750,11452,9058,7394,6128,5164,4404,3840,3314,2842,2476
optuna,20442,11616,7552,4868,3212,2250,1556,1122,822,652,496,384,312,260,218,172,114,90,74,62
package_control,14696,6430,2864,1404,698,374,250,190,136,100,76,60,52,40,34,28,28,22,18,16
Paddle,222308,85668,43974,22976,6666,3268,2026,1398,1040,780,620,528,406,350,288,244,190,168,140,114
PaddleHub,238216,10466,1188,710,434,194,116,94,52,32,22,18,8,6,4,4,2,2,2,2
PaddleOCR,6800,2572,1044,616,352,214,116,68,44,28,18,14,12,12,12,10,6,6,6,6
pandas,149794,67908,42498,29428,22066,16604,12308,9184,7012,5480,4284,3406,2752,2234,1834,1548,1316,1144,964,812
paramiko,6142,5652,4776,4142,3628,3140,2640,2224,1938,1676,1492,1310,1104,958,834,700,592,490,422,362
ParlAI,148660,83564,34222,16024,7594,3970,2332,1522,882,624,472,376,306,246,208,164,136,112,88,76
pdfminer,1122,1056,954,818,678,508,420,338,256,220,172,138,114,102,86,72,56,52,38,28
peewee,1124,490,266,190,140,106,86,68,54,48,48,46,40,40,38,36,36,34,34,32
persepolis,2574,2062,1670,1286,916,662,518,398,284,230,176,132,106,92,74,56,42,42,36,32
pgcli,2824,1962,1154,636,406,258,168,116,96,80,70,66,58,54,46,42,40,40,34,32
picard,18090,9128,5748,4244,3046,2226,1664,1206,926,670,528,444,360,310,274,236,206,184,160,150
Pillow,57818,44984,36738,28246,22192,17726,13988,10924,8298,6296,4488,3058,2028,1426,1044,772,562,426,316,236
pip,66718,8254,3374,1780,1144,852,616,456,342,254,182,142,110,96,68,60,42,36,28,22
pip-tools,1062,782,572,444,358,288,234,192,158,126,112,106,86,76,72,70,64,58,50,42
pipx,1358,734,388,232,158,100,70,46,34,24,16,12,6,6,4,4,2,2,2,2
pitivi,5670,4528,3268,2254,1820,1502,1204,1034,860,726,586,472,398,332,304,262,230,216,194,172
pitivi-pitivi,5670,4528,3268,2254,1820,1502,1204,1034,860,726,586,472,398,332,304,262,230,216,194,170
platformio-core,11442,5480,3148,2088,1366,966,772,624,500,388,332,288,250,228,210,194,176,156,136,124
playwright-python,11160,4834,2548,1314,828,536,356,246,182,152,126,108,100,86,68,48,44,38,32,26
poetry,28046,15334,9322,5638,3580,2388,1636,1220,910,720,572,442,340,272,230,188,140,116,96,78
PokemonGo-Bot,5142,2638,1444,868,606,474,386,298,238,202,162,124,96,82,70,62,52,44,32,24
poky,9636,3586,1638,1118,862,734,642,560,500,442,386,332,276,250,214,168,136,114,96,82
posthog,48678,20430,11750,7616,5284,3602,2734,1992,1494,1122,896,698,544,438,346,272,220,172,144,120
powerline,8890,2672,1392,764,408,274,154,104,84,66,56,44,34,26,24,22,18,14,12,12
