project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
12306,https://github.com/testerSunshine/12306,12306智能刷票，订�?2306,51,3395,316,4,30,3,49,3342,68.20408163
3d-photo-inpainting,https://github.com/vt-vl-lab/3d-photo-inpainting,[CVPR 2020] 3D Photography using Context-aware Layered Depth Inpainting3d-photo-inpainting,10,5434,78,0,7,0,10,5434,543.4
abu,https://github.com/bbfamily/abu,阿布量化交易系统(股票，期权，期货，比特币，机器学�? 基于python的开源量化交易，量化投资架构abu,250,26581,45,0,3,0,247,26546,107.4736842
acme-tiny,https://github.com/diafygi/acme-tiny,A tiny script to issue and renew TLS certs from Let's Encryptacme-tiny,6,690,125,22,39,2,6,690,115
Ad-papers,https://github.com/wzhe06/Ad-papers,Papers on Computational AdvertisingAd-papers,2,51,69,0,6,0,1,50,50
Agriculture_KnowledgeGraph,https://github.com/qq547276542/Agriculture_KnowledgeGraph,农业知识图谱(AgriKG)：农业领域的信息检索，命名实体识别，关系抽取，智能问答，辅助决策Agriculture_KnowledgeGraph,251,651103,136,0,7,0,95,13563,142.7684211
AidLearning-FrameWork,https://github.com/aidlearning/AidLearning-FrameWork,AidLearning-FrameWork,38,6835,427,0,5,0,28,1692,60.42857143
aiohttp,https://github.com/aio-libs/aiohttp,Asynchronous HTTP client/server framework for asyncio and Pythonaiohttp,159,43589,5014,1715,559,437,131,41341,315.5801527
airavata-django-portal,https://github.com/apache/airavata-django-portal,Mirror of Apache Airavata Django Portalairavata-django-portal,381,124654,578,0,8,0,158,87893,556.2848101
airflow,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflowsairflow",942,116840,4163,2086,874,706,836,93232,111.5215311
akshare,https://github.com/jindaxiang/akshare,"AKShare is an elegant and simple financial data interface library for Python, built for human beings! 开源财经数据接口库akshare",292,53574,2003,0,18,0,281,40282,143.3523132
albert_zh,https://github.com/brightmart/albert_zh,"A LITE BERT FOR SELF-SUPERVISED LEARNING OF LANGUAGE REPRESENTATIONS, 海量中文预训练ALBERT模型albert_zh",37,8425,84,1,7,1,23,8066,350.6956522
albumentations,https://github.com/albumentations-team/albumentations,Fast image augmentation library and an easy-to-use wrapper around other libraries. Documentation:  https://albumentations.ai/docs/ Paper about the library: https://www.mdpi.com/2078-2489/11/2/125albumentations,64,12342,564,327,104,91,43,11585,269.4186047
algo,https://github.com/trailofbits/algo,Set up a personal VPN in the cloudalgo,119,6037,779,487,144,137,8,1560,195
algorithm-exercise,https://github.com/billryan/algorithm-exercise,Data Structure and Algorithm notes. 数据结构与算�?leetcode/lintcode题解/algorithm-exercise,22,580,405,2,33,1,5,199,39.8
algorithms,https://github.com/keon/algorithms,algorithms,400,12967,338,195,136,103,397,12905,32.50629723
allennlp,https://github.com/allenai/allennlp,allennlp,593,64966,1890,1769,199,197,563,58485,103.8809947
allura,https://github.com/apache/allura,Mirror of Apache Alluraallura,980,130667,7229,6276,68,60,457,78538,171.8555799
alpha_vantage,https://github.com/RomelTorres/alpha_vantage,A python wrapper for Alpha Vantage API for financial data.alpha_vantage,24,1766,341,20,43,8,20,1697,84.85
alphafold,https://github.com/deepmind/alphafold,Open source code for AlphaFold.alphafold,73,9045,25,0,9,0,64,8841,138.140625
AlphaPose,https://github.com/MVIG-SJTU/AlphaPose,Real-Time and Accurate Full-Body Multi-Person Pose Estimation&Tracking SystemAlphaPose,177,28114,115,6,15,5,140,16866,120.4714286
altair,https://github.com/altair-viz/altair,Declarative statistical visualization library for Pythonaltair,258,69662,1249,30,107,17,240,21271,88.62916667
amazing-qr,https://github.com/x-hw/amazing-qr,💮 amazing QRCode generator in Python (supporting animated gif) - Python amazing 二维码生成器（支�?gif 动态图片二维码）amazing-qr,12,546,52,0,7,0,12,546,45.5
androguard,https://github.com/androguard/androguard,"Reverse engineering, Malware and goodware analysis of Android applications ... and more (ninja !)androguard",172,129822,1237,73,81,17,82,25232,307.7073171
angr,https://github.com/angr/angr,A powerful and user-friendly binary analysis platform!angr,1130,241478,4189,1005,185,100,1117,238373,213.4046553
anki,https://github.com/ankitects/anki,Anki for desktop computersanki,780,79169,4084,80,73,16,285,33723,118.3263158
anomaly-detection-resources,https://github.com/yzhao062/anomaly-detection-resources,"Anomaly detection related books, papers, videos, and toolboxesanomaly-detection-resources",2,42,192,6,11,1,2,42,21
ansible,https://github.com/ansible/ansible,ansible,8004,1053096,18876,11281,2837,1971,3636,774125,212.9056656
ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,ansible-for-devops,135,3330,337,145,23,2,3,363,121
apex,https://github.com/NVIDIA/apex,A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorchapex,336,54153,669,172,82,58,220,23543,107.0136364
apistar,https://github.com/encode/apistar,The Web API toolkit. 🛠apistar,115,10132,349,75,52,35,29,2530,87.24137931
apprise,https://github.com/caronc/apprise,Apprise - Push Notifications that work with just about every platform!apprise,158,34232,435,222,26,19,149,34007,228.2348993
apscheduler,https://github.com/agronholm/apscheduler,Task scheduling library for Pythonapscheduler,58,5804,393,41,17,12,54,5675,105.0925926
ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,"🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more...ArchiveBox",176,17414,1986,6,60,5,115,9548,83.02608696
arrow,https://github.com/arrow-py/arrow,Better dates & times for Pythonarrow,21,12816,825,214,240,79,21,12816,610.2857143
arxiv-sanity-preserver,https://github.com/karpathy/arxiv-sanity-preserver,"Web interface for browsing, search and filtering recent arxiv submissionsarxiv-sanity-preserver",10,1102,174,0,23,0,10,1102,110.2
asciinema,https://github.com/asciinema/asciinema,Terminal session recorder 📹asciinema,28,1461,420,13,28,5,28,1461,52.17857143
asm-dude,https://github.com/HJLebbink/asm-dude,Visual Studio extension for assembly syntax highlighting and code completion in assembly files and the disassembly windowasm-dude,249,124493,714,1,9,1,28,45038,1608.5
ASRT_SpeechRecognition,https://github.com/nl8590687/ASRT_SpeechRecognition,ASRT_SpeechRecognition,25,3584,144,0,12,0,24,3578,149.0833333
astroquery,https://github.com/astropy/astroquery,astroquery,450,163940,3662,58,94,19,323,27366,84.7244582
asyncpg,https://github.com/MagicStack/asyncpg,A fast PostgreSQL Database Client Library for Python/asyncio.asyncpg,68,17890,631,145,57,31,48,12616,262.8333333
attention-is-all-you-need-pytorch,https://github.com/jadore801120/attention-is-all-you-need-pytorch,"A PyTorch implementation of the Transformer model in ""Attention is All You Need"".attention-is-all-you-need-pytorch",14,1249,168,2,9,2,13,1237,95.15384615
attrs,https://github.com/python-attrs/attrs,Python Classes Without Boilerplateattrs,47,10125,719,307,97,91,40,8663,216.575
