project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
pyecharts,https://github.com/pyecharts/pyecharts,pyecharts,129,25036,668,195,23,17,109,8871,81.3853211
PyGithub,https://github.com/PyGithub/PyGithub,Typed interactions with the GitHub API v3PyGithub,235,26368,1138,542,273,195,226,26211,115.9778761
pygments-main,https://github.com/yujinakayama/pygments-main,A copy of Pygments for lexer developmentpygments-main,409,110087,3480,484,399,38,262,71183,271.6908397
pygorithm,https://github.com/OmkarPathak/pygorithm,A Python module for learning all major algorithmspygorithm,122,7005,318,13,31,10,121,6995,57.80991736
pyinstaller,https://github.com/pyinstaller/pyinstaller,Freeze (package) Python programs into stand-alone executablespyinstaller,617,34278,3849,1063,279,123,538,22555,41.92379182
pyinstrument,https://github.com/joerick/pyinstrument,馃毚聽Call stack profiler for Python. Shows you why your code is slow!pyinstrument,72,36044,446,17,30,3,54,3675,68.05555556
pyjwt,https://github.com/jpadilla/pyjwt,JSON Web Token implementation in Pythonpyjwt,42,3749,423,177,92,62,21,3348,159.4285714
pylint,https://github.com/PyCQA/pylint,It's not just a linter that annoys you!pylint,675,37791,2451,838,239,156,597,36852,61.72864322
pymc3,https://github.com/pymc-devs/pymc,pymc3,178,37642,1443,457,147,97,139,35590,256.0431655
PyMySQL,https://github.com/PyMySQL/PyMySQL,Pure Python MySQL ClientPyMySQL,53,6806,707,172,107,56,41,6263,152.7560976
pyod,https://github.com/yzhao062/pyod,pyod,128,9798,1049,31,26,1,119,9472,79.59663866
PyPDF2,https://github.com/mstamy2/PyPDF2,PyPDF2,17,4016,275,14,79,6,17,4016,236.2352941
pyppeteer,https://github.com/miyakogi/pyppeteer,Headless chrome/chromium automation library (unofficial port of puppeteer)pyppeteer,127,11875,648,4,25,2,54,10628,196.8148148
pyprobml,https://github.com/probml/pyprobml,"Python code for ""Machine learning: a probabilistic perspective"" (2nd edition)pyprobml",548,39616,603,167,37,19,531,39201,73.82485876
