"FileName","Churn","IssueId","CommitId"
"config/serverchanConf.py","36","","7a4b56ba91e5b0630ff5264ec68156b12cdd514f"
"yixing/.idea/modules.xml","8","","e9a532fc2258542c11ecfa88a4e0d6cfb2d7e2e1"
"yixing/myException/ticketIsExitsException.py","2","","54887b6755682a4fc13ca4ec49560047c8b168e0"
"12306login/.idea/dictionaries/wenxianping.xml","3","","5cd50a7fe0df08495fc29901bcb3d7681ec78e83"
"yixing/run.py","2","","551bbfc003a02f0a1a9671198368868c782b90fc"
"","2","","f3a0135d939907941c29b4c634b20e2c34f014d2"
"","2","","54887b6755682a4fc13ca4ec49560047c8b168e0"
".idea/misc.xml","7","","986db2386c577fbcd31b596bc634701d325a4642"
"","2","","c27f3c57c3eef6227cf78a08e2cc45015e3f48f2"
"","7","","c7ca1507325939830c320cd7c25d9f127f69857c"
"","2","","54887b6755682a4fc13ca4ec49560047c8b168e0"
"","4","","020500ca124475590e6e89657b595e60d257e9ac"
"12306login/.idea/workspace.xml","291","","072bca48c2f7936f3e20f38abd939d02fea00a0b"
"","119","","8d8b5ab1fbabddbcf34ade76a70bb5454a36130b"
"","181","","c43dc1bab4b9ab423837ed5f2dcbe91c9d083930"
"","129","","c59d1cf8d32e1b202f1cd1445f39c8db7b3079db"
"","928","","5cd50a7fe0df08495fc29901bcb3d7681ec78e83"
".idea/workspace.xml","14","","bd30d7e4570f33223aae11f37095025149da03e4"
"","935","","986db2386c577fbcd31b596bc634701d325a4642"
"","381","","6e78ccdb6eade427d878dd94d4e80acd5a2bb8d9"
"","487","","e736b0fd23f51046f454989ed5b34bbeac830861"
"","631","","c27f3c57c3eef6227cf78a08e2cc45015e3f48f2"
"","1042","","c7ca1507325939830c320cd7c25d9f127f69857c"
"","791","","650f0106e3e16821bf9799c7484c9c1f739f9e49"
"","350","","0db5c26040a84eeb69283ba255fe5b21f17d3290"
"","187","","004b82831dbdbd2abcca0d37b22e67d80a04e7c0"
"","629","","f0fea7cba7e213df4c7c94ddf4b3b61c3d8dc5db"
"","197","","0d4846e9baf6c82d1f7a68ddd383b2b9c69d2ff7"
"","391","","5f7b4df19b17abc9897c473a05b500be74e4253d"
"","25","","6ffdaa00481e8e3cfb04e8f9d73436a91f5589af"
"","90","","4febb67ac2a8b1d0305fb812097aee0a265b77e8"
"","184","","b84c5faf8f6928a2e8d2aff0ee12d3cc4d5916a8"
"","339","","bd5bebac3aa61731e39c35d3f538734a6a797370"
"","295","","6a07fd4739e58ee1b21c30e6bb5625e037d8a935"
"","45","","339c22b5e2fc9d04525aaa5ad76e865634082cd9"
"","429","","488fd0186438095719b06ac514c8a15bdecadf6a"
"","23","","264351d7276d26429bde2d2862fc886f8616739b"
"","183","","977af7fd662bbf0b191fbef8724263a831a2fd7f"
"","286","","e5b16fe778cca2e4535a01a91d5093fadfc659e5"
"","234","","fecc657d35dcc04f9e52adc582f25f04b7cda30d"
"","390","","982ede537398a1c89786825c590a1ed2e680a557"
"","44","","ea32a545118f4ce974431790428f5e485c1b5ce4"
"","113","","e4e42718cc9a972849f40af6fdba919e56fda80e"
"","293","","42704fe911ec77d9627ae8ba65ba02399455f05a"
"","153","","9d82578d3a46394c39933215ba2068a1ce66f02a"
"","66","","652cebfd5729a793a4b4ec72819a86f98e1feac5"
"","829","","54887b6755682a4fc13ca4ec49560047c8b168e0"
"","506","","c00aa9693558193fb9798dc044373f3dc44b29ee"
"","516","","020500ca124475590e6e89657b595e60d257e9ac"
"yixing/test.py","107","","54887b6755682a4fc13ca4ec49560047c8b168e0"
"","20","","c00aa9693558193fb9798dc044373f3dc44b29ee"
"verify/ruokuai.py","78","","499f0fbda7e86a0f5433ea0fc51a1285e315f4d7"
"","0","","bd30d7e4570f33223aae11f37095025149da03e4"
"12306login/damatuCode/__init__.py","0","","5cd50a7fe0df08495fc29901bcb3d7681ec78e83"
"docker.sh","37","","93c6db471ce520f383bd854a971d76386911a896"
"","6","","a699ff49c99a207fa52df6658ed4dddfc688f6b3"
"","11","","fe1ea37a7eb5646e54a77cdee711abf0b5da4da7"
"","32","","8c2686273232f30a6206644c2a8a531ff48cb211"
"yixing/config/ticketConf.py","32","","54887b6755682a4fc13ca4ec49560047c8b168e0"
"config/urlConf.py","104","","9d70f8352d024daba2e364bbef7ba72963090440"
"","8","","960c9a01e7aa43f016a8d9dcf58cfaeed271e752"
"","6","","78693cdd14f688c1af7e2e921e81c216517f42fc"
"","2","","b2f9ce65f199b33f4441ce8d2e33101336cc080e"
"","2","","e12a3f3897b661eab75cf698c1112c9250692efd"
"","14","","5fd9b8f8c9915e1b09eef414028886b14f431b05"
"","6","","399f9b6626110f929c2f84105950d67c488b9d40"
"","2","","e200c28a62a0dffde3f97a3d1cc0e5731573c17f"
"","2","","75da2b8c341b2948a91241b26614dda1b0fabb1c"
"","11","","dba8fe0a5394eff5477a93c148bbddaef240eb88"
"","2","","8db4252d90c85007aa545c31843934d10245ee0f"
"","4","","414c9f7d24e6a62d330179a24c8799041e302fec"
"","13","","7a4b56ba91e5b0630ff5264ec68156b12cdd514f"
"","2","","499f0fbda7e86a0f5433ea0fc51a1285e315f4d7"
