project,und_avg_infectfile_authornum,und_avg_infectfile_issuenum,und_avg_infectfile_changecmt,und_avg_infectfile_changeloc,und_avg_infectfile_bugcmt,und_avg_infectfile_bugloc,und_avg_unfectfile_authornum,und_avg_unfectfile_issuenum,und_avg_unfectfile_changecmt,und_avg_unfectfile_changeloc,und_avg_unfectfile_bugcmt,und_avg_unfectfile_bugloc,p_avg_infectfile_authornum,p_avg_infectfile_issuenum,p_avg_infectfile_changecmt,p_avg_infectfile_changeloc,p_avg_infectfile_bugcmt,p_avg_infectfile_bugloc,p_avg_unfectfile_authornum,p_avg_unfectfile_issuenum,p_avg_unfectfile_changecmt,p_avg_unfectfile_changeloc,p_avg_unfectfile_bugcmt,p_avg_unfectfile_bugloc
gmvault,1.878787879,0.151515152,36.21212121,1010.909091,0.212121212,1.303030303,0.5,0,1.55,102.15,0,0,1.878787879,0.151515152,36.21212121,1010.909091,0.212121212,1.303030303,0.5,0,1.55,102.15,0,0
Gooey,2.910714286,1.803571429,8.035714286,168.3928571,1.875,38.80357143,1.5,0.432432432,2.135135135,57.67567568,0.432432432,6.986486486,2.923076923,1.707692308,7.569230769,157.1846154,1.769230769,35.56923077,1.292307692,0.338461538,1.784615385,53.55384615,0.338461538,5.815384615
google-api-python-client,6.887323944,6.126760563,12.29577465,469.7183099,6.281690141,345.1267606,1.733333333,1.733333333,2.2,138.6,2.533333333,361.6666667,6.794520548,6.02739726,12.08219178,465.6164384,6.219178082,372.6164384,1.461538462,1.615384615,1.846153846,110.6923077,2.307692308,209.8461538
gpodder,4.987179487,2.064102564,38.64102564,759.974359,2.41025641,52,1.814814815,0.518518519,3.851851852,95.51851852,0.555555556,10.22222222,4.673913043,1.880434783,33.70652174,657,2.184782609,46.95652174,0.615384615,0.153846154,1.307692308,108.6923077,0.153846154,0.923076923
gradio,3.274509804,0.431372549,42.25490196,812.5490196,0.862745098,16.98039216,1.095238095,0.19047619,3.047619048,127.6666667,0.380952381,11.42857143,2.966101695,0.423728814,37,713.440678,0.847457627,17.18644068,1.153846154,0.076923077,2.769230769,156,0.153846154,7.076923077
graphene,4.518867925,5.981132075,15.53773585,298.1509434,5.990566038,141.4245283,0.6875,0.125,1.3125,17.46875,0.125,1.59375,4.431192661,5.825688073,15.17431193,290.7798165,5.834862385,137.6055046,0.620689655,0.103448276,1.206896552,16.13793103,0.103448276,1.482758621
graphene-django,6.471428571,5.7,12.7,330.2857143,5.757142857,153.9,1.056179775,0.943820225,1.269662921,24.88764045,0.97752809,23.2247191,6.025316456,5.265822785,11.65822785,303.4303797,5.316455696,144.4936709,0.8875,0.8375,1.0125,17.05,0.875,17.8125
great_expectations,5.197594502,21.53608247,17.77835052,825.8694158,22.8814433,1766.323024,0.991304348,2.686956522,1.195652174,81.63913043,2.786956522,258.2652174,5.10720268,21.42043551,17.37353434,808.6030151,22.74874372,1787.651591,0.948837209,1.693023256,1.162790698,77.66046512,1.753488372,93.82790698
guake,8.35,9.4,37.15,889.1,10.15,193.45,1.882352941,0.647058824,3.529411765,217.2941176,0.705882353,4.352941176,6.793103448,6.827586207,27.5862069,739.3448276,7.379310345,134.9310345,0.25,0.125,0.375,4.375,0.125,3.75
gunicorn,14.83783784,13.37837838,53.21621622,736.2972973,13.86486486,186.3513514,0.972972973,0.414414414,1.387387387,33.27927928,0.414414414,12.0990991,11.16666667,9.703703704,38.03703704,536.7777778,10.03703704,143.4074074,0.574468085,0.180851064,0.734042553,20.75531915,0.180851064,5.255319149
gym,9.43,10.45,15.01,325.12,10.64,256.91,0.507692308,0.707692308,0.907692308,14.50769231,0.707692308,13.27692308,8.491071429,9.428571429,13.5,295.6785714,9.598214286,234.7767857,0.471698113,0.660377358,0.905660377,6.396226415,0.660377358,4.886792453
h4cker,NA,NA,NA,NA,NA,NA,0.105263158,0,0.157894737,9.210526316,0,0,NA,NA,NA,NA,NA,NA,0.105263158,0,0.157894737,9.210526316,0,0
haipproxy,0.333333333,0,0.333333333,0.333333333,0,0,0.775510204,0,1.571428571,22.36734694,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.775510204,0,1.571428571,22.36734694,0,0
HanLP,0.95890411,0,4.089041096,241.9726027,0,0,0.541818182,0,0.84,72.69818182,0,0,0.965116279,0,3.715116279,239.5755814,0,0,0.493975904,0,0.759036145,56.67871486,0,0
haxor-news,NA,NA,NA,NA,NA,NA,1.021276596,3.170212766,7.957446809,149.1276596,3.212765957,39.44680851,NA,NA,NA,NA,NA,NA,1.021276596,3.170212766,7.957446809,149.1276596,3.212765957,39.44680851
healthchecks,1.070484581,2.273127753,14.08810573,198.2334802,2.563876652,37.83259912,0.52173913,0.239130435,1.333333333,32.13768116,0.260869565,9.507246377,1.070175439,2.26754386,14.03070175,197.5307018,2.557017544,37.83333333,0.518248175,0.233576642,1.335766423,32.09489051,0.255474453,9.299270073
home-assistant,6.442857143,39.47857143,18.07410714,486.7669643,41.33392857,1531.802679,1.364149612,1.968948483,2.136908963,80.91884263,2.143260409,82.7184192,5.568820225,31.84339888,15.06320225,418.5842697,33.37219101,1241.89677,1.095238095,1.492362983,1.636118598,57.30188679,1.625336927,57.83468104
horizon,11.88503254,7.904555315,18.62255965,424.0650759,8.223427332,145.6247289,0.903052065,0.332136445,1.105924596,34.72890485,0.350089767,6.561938959,10.93567251,7.237816764,17.07602339,391.3001949,7.526315789,133.3684211,0.736633663,0.22970297,0.873267327,27.92277228,0.247524752,4.693069307
horovod,4.229166667,10.84375,10.70833333,398.2604167,10.97916667,397.3645833,1.194244604,2.258992806,2.143884892,74.78417266,2.294964029,76.44604317,3.136363636,7.5,7.38961039,280.4415584,7.61038961,281.2987013,1.098765432,2.469135802,2.320987654,67.16049383,2.481481481,67.32098765
httpie,3.642857143,11.92857143,25.35714286,467.0892857,12.46428571,239.6785714,1.36,2.48,3.6,100.64,2.6,82.08,3.446153846,10.93846154,22.90769231,428.8461538,11.44615385,226.4923077,0.875,1.1875,1.3125,49.875,1.1875,47
httpx,6.808510638,26.38297872,26.06382979,589.5957447,27.21276596,653.4042553,1.153846154,2.384615385,2.230769231,79.69230769,2.384615385,81.30769231,6.693877551,25.6122449,25.28571429,569.244898,26.40816327,630.755102,0.636363636,1.454545455,1.363636364,77.63636364,1.454545455,78.18181818
huey,2.571428571,4.904761905,31.04761905,817.3809524,5.238095238,111.3809524,1.27027027,0.567567568,3.72972973,82.54054054,0.594594595,8.594594595,2.5,3.388888889,21.47222222,551.6944444,3.611111111,73.16666667,0.5,0.090909091,0.772727273,16.27272727,0.090909091,1.045454545
hug,6.708333333,1.291666667,36.77083333,649.5,1.291666667,16.64583333,1.220930233,0.069767442,1.872093023,19.52325581,0.069767442,0.511627907,4.449438202,0.730337079,21.17977528,365.8539326,0.730337079,9.112359551,0.688888889,0.066666667,0.911111111,6.533333333,0.066666667,0.711111111
hy,12.37931034,11.06896552,63.10344828,1350.827586,11.37931034,271.4482759,1.3,0,3.3,88.5,0,0,12.37931034,11.06896552,63.10344828,1350.827586,11.37931034,271.4482759,1.3,0,3.3,88.5,0,0
hydra,1.979057592,5.319371728,12.73298429,386.565445,5.376963351,174.3717277,0.270408163,0.234693878,0.418367347,11.92346939,0.234693878,5.459183673,1.984455959,5.284974093,12.63212435,383.4404145,5.341968912,173.1554404,0.24742268,0.216494845,0.391752577,11.17010309,0.216494845,4.927835052
hyperopt,7.365384615,4.346153846,25.30769231,1037.019231,4.365384615,258.75,0,0,0,0,0,0,7.365384615,4.346153846,25.30769231,1037.019231,4.365384615,258.75,0,0,0,0,0,0
hypothesis,4.165289256,0.303030303,19.23966942,289.4380165,0.308539945,8.520661157,1.121212121,0.090909091,2.696969697,101.3030303,0.090909091,13.87878788,4.090909091,0.302139037,18.75668449,284.459893,0.307486631,9.494652406,0.863636364,0,2.636363636,91.86363636,0,0
igbot,7.808988764,0.415730337,27.50561798,565.5280899,0.460674157,14.62921348,2.208333333,0.041666667,4.708333333,60.25,0.041666667,1.583333333,7.242424242,0.373737374,25.16161616,515.7878788,0.414141414,13.15151515,2.214285714,0.071428571,5,51.07142857,0.071428571,2.714285714
ignite,7.658031088,27.39896373,15.78756477,562.6165803,29.45595855,1379.42487,1.473684211,2.368421053,2.171052632,121.2236842,2.578947368,138.9605263,7.543147208,26.93401015,15.54314721,558,28.95939086,1359.091371,1.444444444,2.25,2.083333333,109.3333333,2.444444444,125.6805556
imagededup,3.388888889,1.833333333,21.55555556,908.9444444,1.888888889,56.77777778,1.277777778,0.388888889,3.944444444,95.27777778,0.388888889,7.555555556,3.388888889,1.833333333,21.55555556,908.9444444,1.888888889,56.77777778,1.277777778,0.388888889,3.944444444,95.27777778,0.388888889,7.555555556
imbalanced-learn,2.490384615,10.05769231,10.80769231,387.6346154,10.16346154,417.1442308,0.535714286,0.928571429,1.214285714,71.60714286,0.928571429,70.85714286,2.490384615,10.05769231,10.80769231,387.6346154,10.16346154,417.1442308,0.535714286,0.928571429,1.214285714,71.60714286,0.928571429,70.85714286
imgaug,2.460784314,3.941176471,37.00980392,3321.539216,4.019607843,249.0588235,1.391304348,0.369565217,2.413043478,191.0652174,0.369565217,10.7173913,2.293103448,3.5,32.93103448,2971.413793,3.568965517,219.1982759,1.53125,0.40625,2.0625,90.6875,0.40625,14.6875
impacket,5.210526316,0.724696356,20.5951417,1011.194332,0.769230769,25.6194332,1.555555556,0.074074074,2.518518519,286.1111111,0.074074074,6.703703704,5.073359073,0.698841699,19.81467181,988.5521236,0.741312741,25.13127413,1,0,1.533333333,97,0,0
imutils,2.5,0,11.5,139.5,0,0,1.243902439,0,2.146341463,50.75609756,0,0,2.5,0,11.5,139.5,0,0,1.243902439,0,2.146341463,50.75609756,0,0
infrastructure-puppet,NA,NA,NA,NA,NA,NA,1.113636364,0,4.363636364,307.6931818,0,0,1.75,0,5.5,1342.25,0,0,1.05,0,4.25,204.2375,0,0
insightface,1.263157895,0,2.280701754,246.7894737,0,0,0.703333333,0,0.853333333,103.785,0,0,1.171428571,0,2,251.8857143,0,0,0.701873935,0,0.855195911,100.0102215,0,0
InstaPy,23.37931034,9.24137931,80.27586207,2822.206897,10.10344828,288.7586207,1.888888889,0.222222222,3.222222222,21.33333333,0.222222222,5.777777778,21.4375,8.4375,73,2559.625,9.21875,263.3125,1.5,0,3.5,21.33333333,0,0
inter,NA,NA,NA,NA,NA,NA,0.368421053,0.192982456,1.175438596,66.77192982,0.192982456,17.15789474,NA,NA,NA,NA,NA,NA,0.368421053,0.192982456,1.175438596,66.77192982,0.192982456,17.15789474
invoke,2.686567164,3.641791045,50.20895522,846.1044776,4.820895522,87.49253731,0.722891566,0.048192771,1.096385542,167.6385542,0.060240964,1.469879518,2.4375,3.0625,42.3,757.9375,4.0625,74.625,0.642857143,0.042857143,1.014285714,142.4,0.042857143,0.2
