project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GamestonkTerminal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gensim,3.3351351351351353,4.587786259541985,3.691729323308271,5.6,7.801526717557252,6.541353383458647,9.291891891891892,12.931297709923664,10.37593984962406,403.97297297297297,564.8625954198474,482.6766917293233,6.443243243243243,8.98473282442748,7.488721804511278,397.4810810810811,555.5648854961833,480.1503759398496
gensim-old,16.69047619047619,18.5,16.92,24.80952380952381,28.766666666666666,28.4,42.95238095238095,52.36666666666667,47.52,1876.0,2359.266666666667,2402.52,29.357142857142858,34.56666666666667,32.96,1914.047619047619,2361.7,2473.44
geopy,6.642857142857143,8.5,5.25,3.5714285714285716,3.0,2.0,38.42857142857143,66.5,52.75,607.7857142857143,1144.0,819.5,3.857142857142857,3.5,2.25,83.07142857142857,62.5,85.5
ggpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gitsome,1.0,1.0,1.0,0.0,0.0,0.0,1.375,1.5,1.5,296.625,319.0,306.75,0.0,0.0,0.0,0.0,0.0,0.0
gixy,1.8,2.0,1.8,1.4,1.3333333333333333,1.4,5.6,5.0,5.6,197.8,213.0,197.8,1.4,1.3333333333333333,1.4,10.2,10.333333333333334,10.2
glance,3.6666666666666665,3.375,3.0,6.0,6.5,6.6,49.111111111111114,50.5,46.8,1167.0,1217.125,1271.2,7.666666666666667,8.375,8.0,175.0,194.375,109.8
glances,4.111111111111111,4.111111111111111,2.25,14.0,14.0,10.5,82.77777777777777,82.77777777777777,56.25,2000.3333333333333,2000.3333333333333,1495.5,16.11111111111111,16.11111111111111,12.25,300.1111111111111,300.1111111111111,163.0
gluon-cv,3.3541666666666665,2.6666666666666665,3.0,23.458333333333332,21.833333333333332,23.5,11.0,9.027777777777779,10.636363636363637,529.9583333333334,494.19444444444446,711.1818181818181,23.583333333333332,21.833333333333332,23.5,2739.25,3420.9166666666665,4122.136363636364
