project,6_e_Total_InstanceCount,6_p_Total_InstanceCount,6_e_Total_DistinctFileCount,6_p_Total_DistinctFileCount,6_e_UnstableInterface_InstanceCount,6_p_UnstableInterface_InstanceCount,6_e_UnstableInterface_DistinctFileCount,6_p_UnstableInterface_DistinctFileCount,6_e_UnhealthyInheritance_InstanceCount,6_p_UnhealthyInheritance_InstanceCount,6_e_UnhealthyInheritance_DistinctFileCount,6_p_UnhealthyInheritance_DistinctFileCount,6_e_Clique_InstanceCount,6_p_Clique_InstanceCount,6_e_Clique_DistinctFileCount,6_p_Clique_DistinctFileCount,6_e_Crossing_InstanceCount,6_p_Crossing_InstanceCount,6_e_Crossing_DistinctFileCount,6_p_Crossing_DistinctFileCount,6_e_PackageCycle_InstanceCount,6_p_PackageCycle_InstanceCount,6_e_PackageCycle_DistinctFileCount,6_p_PackageCycle_DistinctFileCount,6_e_ModularityViolation_InstanceCount,6_p_ModularityViolation_InstanceCount,6_e_ModularityViolation_DistinctFileCount,6_p_ModularityViolation_DistinctFileCount
visidata,15,26,86,100,0,4,0,80,0,0,0,0,0,2,0,12,0,2,0,42,1,2,40,59,14,16,67,63
vision,31,41,136,148,5,7,122,142,4,4,12,12,0,1,0,2,3,6,28,44,1,4,5,38,18,19,76,76
volatility,92,122,283,341,15,20,237,244,12,14,75,161,2,1,6,72,19,32,185,224,8,22,111,262,36,33,192,189
voltron,8,13,31,42,2,2,29,29,0,2,0,15,0,1,0,3,0,1,0,10,1,3,10,32,5,4,19,19
vprof,4,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,15
vyper,63,72,255,274,6,10,205,239,3,3,19,21,2,2,27,30,11,12,73,77,19,23,72,77,22,22,169,169
wafw00f,2,4,4,52,0,1,0,51,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,2,2,4,4
wagtail,139,182,637,654,14,21,530,540,28,36,160,196,5,3,18,81,14,20,171,208,37,60,189,230,41,42,170,166
wal-e,19,26,64,79,1,2,27,40,2,4,9,28,0,2,0,7,4,4,40,40,8,10,35,42,4,4,16,14
walle-web,18,25,64,65,4,4,55,55,2,3,18,23,0,1,0,35,0,2,0,23,4,7,24,39,8,8,29,29
WeasyPrint,20,34,79,83,2,5,41,49,0,0,0,0,1,1,41,47,7,12,37,46,7,13,57,78,3,3,28,28
websockets,20,27,54,57,4,4,46,46,2,4,9,12,1,3,3,9,3,4,33,35,2,4,22,31,8,8,27,27
wechat_jump_game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weibospider,9,9,29,29,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,4,4,24,24,4,4,10,10
werkzeug,42,46,112,113,11,12,110,110,3,3,15,20,4,5,19,25,12,13,75,81,4,5,31,32,8,8,94,94
wfuzz,24,40,103,109,5,7,94,103,2,6,6,21,0,2,0,9,4,9,70,86,6,8,34,41,7,8,47,45
whoogle-search,4,6,15,15,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,9,10,3,3,10,10
wifiphisher,5,11,22,23,1,1,22,22,0,0,0,0,0,2,0,7,0,2,0,19,1,2,10,20,3,4,10,9
wifite2,26,30,44,44,4,6,41,41,2,2,15,16,1,1,14,19,6,8,39,42,7,7,39,39,6,6,19,19
wxpy,22,26,35,37,2,4,34,37,2,2,9,10,1,1,11,14,6,7,30,33,5,6,21,23,6,6,18,18
xadmin,23,31,64,65,6,8,60,61,4,4,12,18,1,1,3,13,2,7,27,41,3,3,50,51,7,8,41,41
xonsh,59,74,193,205,9,13,176,185,2,3,11,16,2,1,68,88,20,27,128,143,7,10,76,139,19,20,102,101
yapf,15,19,48,49,5,5,48,48,2,2,12,12,0,1,0,7,4,6,33,35,0,0,0,0,4,5,43,43
yellowbrick,35,40,153,156,7,7,144,144,1,3,5,19,1,1,4,4,1,2,15,25,6,8,35,41,19,19,62,60
yolov5,9,14,23,23,1,1,22,22,0,0,0,0,1,2,2,10,1,3,11,16,1,3,3,16,5,5,15,15
YOLOX,8,16,56,57,1,2,54,54,0,1,0,6,0,1,0,4,0,1,0,15,1,5,4,18,6,6,17,16
you-get,5,7,37,119,1,1,31,31,0,0,0,0,0,1,0,4,1,1,25,25,2,3,13,113,1,1,3,3
YouCompleteMe,10,14,46,47,3,3,45,45,2,2,12,13,0,1,0,2,0,0,0,0,1,3,18,36,4,5,29,29
yowsup,30,42,182,199,5,6,159,161,5,8,47,59,0,3,0,15,2,2,24,24,1,7,5,32,17,16,48,46
YYeTsBot,3,3,7,7,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,5,5,2,1,4,2
Zappa,4,5,12,15,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,4,4,12,12
zipline,93,126,229,247,15,22,199,219,13,18,44,78,1,3,10,61,22,25,161,173,20,35,94,146,22,23,100,99
airavata-django-portal,7,7,53,53,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,53,53
bitbake,42,59,102,119,6,9,96,98,10,13,40,60,5,3,29,70,4,10,50,69,7,14,37,70,10,10,57,54
boto,108,124,375,412,9,11,252,257,5,7,87,98,5,1,41,165,14,25,159,230,51,58,214,244,24,22,92,79
calibre,442,691,1096,1137,54,98,940,995,36,57,180,304,4,5,388,621,95,165,631,746,153,267,693,843,100,99,413,381
cassandra-dtest,16,22,116,118,4,5,105,105,1,1,5,8,0,1,0,5,0,2,0,94,2,4,77,92,9,9,69,69
celery,82,170,293,302,20,35,287,289,4,12,12,49,2,4,25,90,23,48,161,223,9,46,69,191,24,25,188,186
cerbero,17,27,55,76,2,4,35,41,3,4,12,18,2,4,14,20,2,4,18,30,3,8,27,59,5,3,12,8
certbot,33,52,167,181,4,7,118,128,3,6,27,34,1,4,3,12,2,7,30,69,4,6,36,58,19,22,96,96
ChatterBot,17,22,62,66,2,4,61,66,1,3,7,12,0,1,0,3,1,2,38,46,2,2,16,17,11,10,35,34
cheetah,8,11,37,40,1,1,35,35,2,3,5,6,2,1,6,15,2,3,23,26,1,3,16,29,0,0,0,0
cherrypy,19,33,102,105,3,8,100,101,4,6,13,23,2,2,10,32,3,8,53,79,2,4,32,81,5,5,95,95
cobbler,12,29,84,88,4,9,84,85,0,0,0,0,0,2,0,23,1,8,17,68,0,1,0,40,7,9,73,73
codespeed,2,4,6,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,8,2,2,6,6
django,384,508,1522,1602,54,65,1447,1480,51,72,318,544,14,3,82,294,110,154,1001,1094,38,100,203,416,117,114,873,869
sentry,222,282,1065,1271,28,37,756,836,17,32,144,365,7,6,94,439,33,39,369,451,48,84,543,617,89,84,345,337
sympy,569,623,1054,1069,123,136,978,987,51,57,372,437,14,11,322,391,195,211,800,827,91,116,358,407,95,92,713,706
twisted,97,171,443,703,5,8,100,139,56,73,304,393,9,11,46,204,6,10,49,75,13,62,136,527,8,7,17,15
XX-Net,112,163,556,670,16,21,410,414,31,43,96,136,11,6,67,264,24,32,174,198,21,52,104,268,9,9,42,42
zulip,128,149,473,517,22,25,377,384,3,5,31,39,1,1,67,91,27,31,264,275,20,32,151,278,55,55,317,317
