project,6_e_Total_InstanceCount,6_p_Total_InstanceCount,6_e_Total_DistinctFileCount,6_p_Total_DistinctFileCount,6_e_UnstableInterface_InstanceCount,6_p_UnstableInterface_InstanceCount,6_e_UnstableInterface_DistinctFileCount,6_p_UnstableInterface_DistinctFileCount,6_e_UnhealthyInheritance_InstanceCount,6_p_UnhealthyInheritance_InstanceCount,6_e_UnhealthyInheritance_DistinctFileCount,6_p_UnhealthyInheritance_DistinctFileCount,6_e_Clique_InstanceCount,6_p_Clique_InstanceCount,6_e_Clique_DistinctFileCount,6_p_Clique_DistinctFileCount,6_e_Crossing_InstanceCount,6_p_Crossing_InstanceCount,6_e_Crossing_DistinctFileCount,6_p_Crossing_DistinctFileCount,6_e_PackageCycle_InstanceCount,6_p_PackageCycle_InstanceCount,6_e_PackageCycle_DistinctFileCount,6_p_PackageCycle_DistinctFileCount,6_e_ModularityViolation_InstanceCount,6_p_ModularityViolation_InstanceCount,6_e_ModularityViolation_DistinctFileCount,6_p_ModularityViolation_DistinctFileCount
ptf,4,4,8,8,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,6,6,2,2,4,4
pwndbg,49,53,156,156,15,15,149,149,2,2,15,21,2,2,7,12,16,19,98,107,7,8,109,111,7,7,118,118
pwntools,64,78,171,172,10,13,166,166,4,5,15,17,3,2,51,63,16,21,88,100,11,17,53,64,20,20,108,108
py12306,19,24,34,35,2,2,31,31,0,0,0,0,1,1,15,19,3,5,21,28,10,12,27,28,3,4,16,16
pyalgotrade,21,48,175,180,6,11,171,175,3,3,15,31,0,3,0,11,0,6,0,64,0,11,0,55,12,14,149,149
pyAudioAnalysis,2,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,12
PyBoy,13,20,61,61,3,3,59,59,1,1,6,6,0,1,0,22,1,5,15,42,3,6,21,30,5,4,15,14
PyChecker,6,11,24,36,0,0,0,0,2,3,13,14,0,2,0,9,0,0,0,0,0,2,0,11,4,4,15,13
pydantic,25,31,73,132,7,7,73,73,0,1,0,8,1,2,12,17,9,11,40,53,0,1,0,75,8,9,37,35
pyecharts,22,33,101,105,5,7,92,98,2,5,7,28,0,2,0,14,5,8,48,72,4,6,45,47,6,5,72,70
PyGithub,26,36,213,216,8,11,213,215,0,1,0,10,0,0,0,0,9,14,100,194,0,0,0,0,9,10,173,173
pygments-main,33,41,241,243,5,8,208,218,2,4,30,44,1,2,2,10,8,10,129,156,4,4,181,181,13,13,116,115
pygorithm,1,1,3,3,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyinstaller,40,49,417,417,10,13,413,413,1,1,3,4,0,1,0,17,11,13,164,201,8,11,39,42,10,10,331,331
pyinstrument,8,11,34,38,1,2,34,38,0,1,0,4,0,0,0,0,0,1,0,19,1,1,9,10,6,6,18,15
pyjwt,5,5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,12
pylint,27,44,186,188,5,9,160,160,1,5,5,26,1,2,2,17,1,3,10,74,6,13,41,79,13,12,107,105
pymc3,48,66,128,131,15,18,122,122,6,8,34,41,1,1,10,42,12,18,102,108,7,14,88,104,7,7,33,33
PyMySQL,5,9,33,36,1,3,32,36,0,0,0,0,1,1,2,4,0,1,0,29,0,0,0,0,3,4,19,16
pyod,14,16,65,113,3,3,59,59,0,1,0,59,0,0,0,0,1,1,10,11,0,1,0,65,10,10,51,51
pyppeteer,9,14,30,45,1,1,27,27,0,0,0,0,0,1,0,18,2,5,11,27,0,1,0,36,6,6,21,21
pyprobml,2,6,153,170,1,1,148,148,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,24,0,0,0,0
pyramid,54,84,167,251,9,14,87,167,19,25,60,102,0,2,0,45,8,16,67,95,4,13,56,124,14,14,66,66
pyro,147,206,535,549,34,43,524,525,20,25,104,196,1,4,6,66,41,63,421,449,11,31,105,172,40,40,277,271
pysc2,16,21,62,82,2,3,56,57,2,2,8,8,0,1,0,13,2,4,31,39,2,5,17,64,8,6,23,20
PySimpleGUI,3,10,16,304,0,1,0,11,0,0,0,0,0,1,0,9,0,0,0,0,0,5,0,301,3,3,16,14
pyspider,19,29,63,70,1,3,54,61,0,2,0,6,2,2,5,7,3,4,25,38,5,7,21,29,8,11,33,33
pyTelegramBotAPI,9,9,29,33,2,2,29,29,0,0,0,0,2,1,5,7,1,1,26,26,0,1,0,17,4,4,11,11
pytest,31,44,89,93,5,12,58,62,4,4,18,30,3,1,13,30,5,11,36,56,4,8,36,81,10,8,56,52
pytext,92,123,251,269,15,16,173,179,34,38,151,156,1,4,3,60,13,16,105,124,14,35,110,171,15,14,41,40
Python,14,15,52,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,14,14,52,52
python-for-android,23,33,177,181,6,8,174,175,0,1,0,7,2,2,4,11,3,7,54,134,0,2,0,17,12,13,44,43
python-mini-projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python-patterns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python-phonenumbers,18,18,641,641,3,3,23,23,1,1,21,21,0,0,0,0,1,1,17,17,5,5,588,588,8,8,580,580
python-pinyin,7,7,34,34,0,0,0,0,1,1,3,3,0,0,0,0,1,1,13,13,3,3,23,23,2,2,5,5
python-prompt-toolkit,129,146,267,269,36,39,263,264,11,11,67,72,2,2,36,69,33,37,233,240,20,30,81,103,27,27,160,160
python-slack-sdk,49,51,155,159,5,5,72,72,6,7,24,31,2,2,4,4,8,8,64,64,11,12,45,49,17,17,63,63
python-spider,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
python-telegram-bot,98,113,286,289,38,42,282,282,4,5,12,22,1,4,2,15,39,44,214,220,11,12,125,166,5,6,254,254
python-twitter,3,5,14,19,0,0,0,0,0,0,0,0,0,1,0,2,1,1,12,12,0,1,0,8,2,2,4,4
pythondotorg,15,21,45,55,0,0,0,0,0,2,0,10,1,4,2,8,1,1,13,13,4,6,12,19,9,8,30,29
pytorch,143,187,652,702,32,37,558,569,15,20,176,215,6,5,21,132,24,37,400,437,16,38,183,300,50,50,261,257
pytorch-CycleGAN-and-pix2pix,3,7,22,25,0,1,0,25,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,3,4,22,21
PyTorch-GAN,1,4,8,33,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,1,8,8
pytorch-image-models,16,18,97,100,2,3,57,72,0,0,0,0,0,0,0,0,4,4,48,48,1,2,5,10,9,9,40,40
pytorch-lightning,139,244,368,390,30,53,359,369,23,33,108,173,2,3,4,120,30,53,248,311,26,74,125,243,28,28,225,223
pytorch-metric-learning,32,48,145,149,7,10,143,143,5,9,13,43,0,1,0,8,3,8,25,57,2,5,14,35,15,15,105,105
pytorch3d,48,54,220,222,9,9,208,208,5,6,18,22,0,1,0,3,7,11,59,83,9,10,47,52,18,17,65,62
pytorch_geometric,65,80,275,343,9,11,192,202,1,1,29,31,1,2,2,22,3,6,59,92,6,18,76,161,45,42,151,142
PyTricks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pytube,6,8,34,34,2,2,31,31,0,0,0,0,0,1,0,2,0,1,0,11,1,1,6,9,3,3,27,27
pytype,52,101,199,247,5,14,138,200,9,12,45,59,0,1,0,65,8,22,100,134,8,27,74,167,22,25,125,124
pywal,5,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,14
pywikibot,57,87,281,287,15,21,281,281,5,9,40,82,1,3,2,48,13,21,183,229,6,17,99,216,17,16,253,252
pywonderland,1,4,3,15,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,7,0,1,0,5,1,1,3,3
qqbot,8,11,25,35,1,1,18,18,1,2,3,4,1,1,4,12,1,2,9,15,2,3,15,30,2,2,14,14
QUANTAXIS,26,42,107,121,5,7,89,102,0,1,0,6,0,2,0,29,5,8,49,71,2,11,33,64,14,13,82,81
qutebrowser,159,280,405,409,32,57,398,401,11,14,72,108,2,1,115,160,53,85,243,335,41,103,136,229,20,20,356,354
ranger,30,69,92,93,1,10,88,91,11,15,23,34,1,1,12,30,5,19,40,79,7,17,52,64,5,7,84,84
rasa,215,231,408,410,46,50,365,368,23,25,194,200,4,1,61,132,56,59,262,267,51,60,157,167,35,36,251,251
ray,399,493,1112,1221,60,70,892,925,40,46,196,249,11,6,249,473,107,122,735,796,87,155,441,771,94,94,501,494
Real-Time-Voice-Cloning,4,5,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,3,3,15,17,1,1,3,3
real-url,2,7,10,20,0,0,0,0,1,2,5,7,0,1,0,6,1,3,9,12,0,1,0,10,0,0,0,0
recommenders,7,12,19,35,0,0,0,0,6,6,17,19,0,1,0,3,0,2,0,14,0,2,0,10,1,1,2,2
responder,3,4,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,1,4,7,2,2,5,5
reviewboard,152,203,499,533,22,28,412,420,16,20,70,120,4,4,65,117,22,35,266,302,50,75,240,298,38,41,223,221
rich,38,42,133,135,11,12,132,132,2,2,9,10,2,1,26,50,17,21,119,123,0,0,0,0,6,6,58,58
roboto,5,7,10,14,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,8,5,5,10,10
RocAlphaGo,4,11,32,34,1,3,32,32,0,1,0,12,0,1,0,4,0,1,0,11,0,2,0,21,3,3,16,16
routersploit,18,22,393,394,9,9,390,390,1,1,3,5,0,2,0,6,4,4,49,50,0,2,0,9,4,4,21,21
rqalpha,48,63,113,117,6,9,97,101,1,4,5,17,2,3,10,21,7,9,58,67,14,19,55,61,18,19,70,70
rtv,14,24,37,44,1,5,23,33,2,3,6,16,2,2,8,19,4,8,24,34,0,1,0,29,5,5,24,24
RxPY,54,58,352,363,8,8,323,323,3,6,77,91,3,3,20,25,5,5,247,247,8,9,164,178,27,27,163,163
sacred,26,37,105,109,2,8,97,100,2,3,10,20,0,1,0,17,7,8,50,62,4,6,30,45,11,11,55,55
sage,229,287,588,596,35,43,514,522,30,35,121,145,10,6,241,292,56,75,372,421,37,64,355,420,61,64,355,355
sanic,29,43,111,129,5,9,103,114,1,3,4,8,0,2,0,26,6,11,65,88,7,8,38,100,10,10,62,60
SASM,2,3,6,11,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,1,0,5,0,0,0,0
saws,6,8,19,24,0,0,0,0,0,2,0,4,0,0,0,0,1,2,17,20,0,0,0,0,5,4,13,12
scalene,3,3,23,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20,0,0,0,0,2,2,10,10
scapy,127,155,287,303,23,28,233,234,22,28,212,231,6,8,67,93,45,52,202,203,18,27,226,255,13,12,172,172
scikit-image,74,80,324,330,6,8,272,291,6,6,28,29,2,3,6,8,5,6,53,58,8,12,35,53,47,45,162,158
scikit-learn,212,252,691,693,47,51,646,647,11,16,145,199,1,1,14,38,69,78,477,482,22,45,108,167,62,61,485,484
scipy,120,164,611,650,20,29,596,605,8,9,39,96,3,5,21,71,26,40,190,282,8,25,56,180,55,56,431,431
scrapy,70,114,239,281,11,17,224,242,5,12,26,56,2,3,5,53,7,15,90,133,10,31,81,230,35,36,122,122
scylla,3,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,1,1,3,3
seaborn,14,21,57,60,3,4,56,57,1,2,8,17,1,1,9,12,2,6,19,33,0,1,0,12,7,7,24,24
security_monkey,33,41,189,193,10,11,181,181,4,5,16,18,0,2,0,7,2,3,51,55,6,9,48,72,11,11,62,62
segmentation_models.pytorch,5,9,37,40,1,1,25,25,1,2,3,22,0,0,0,0,1,1,27,28,0,3,0,9,2,2,9,9
semantic-segmentation-pytorch,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
sentence-transformers,12,14,51,52,2,2,43,43,1,1,3,3,0,1,0,4,1,1,16,16,4,5,19,21,4,4,17,17
seq2seq,9,12,57,58,1,1,42,42,1,2,6,10,0,0,0,0,1,2,11,20,0,1,0,5,6,6,39,39
serenata-de-amor,6,10,25,31,1,1,16,16,1,1,4,4,0,2,0,4,0,0,0,0,1,3,3,9,3,3,6,6
SerpentAI,16,23,31,42,1,1,15,15,4,4,12,12,1,4,2,11,0,2,0,14,8,10,23,32,2,2,6,5
shadowsocksr,6,7,19,23,0,0,0,0,1,1,4,4,0,0,0,0,0,2,0,12,2,2,11,11,3,2,11,8
sigma,7,12,44,60,1,2,34,37,1,2,10,12,0,1,0,4,0,0,0,0,3,5,14,50,2,2,8,8
skorch,9,15,32,41,2,3,30,35,1,2,7,9,1,2,2,7,0,2,0,23,1,2,10,21,4,4,15,15
sktime,53,73,248,270,9,10,212,213,3,7,13,39,2,2,16,74,13,16,105,117,7,19,26,68,19,19,103,102
SlowFast,9,18,46,63,1,2,33,51,0,1,0,3,1,6,2,13,2,3,16,25,2,3,20,23,3,3,22,22
snips-nlu,49,59,105,107,10,12,91,92,2,5,6,15,4,5,11,14,13,14,70,73,10,14,40,56,10,9,63,63
snorkel,14,18,40,52,0,0,0,0,5,9,16,30,0,0,0,0,0,0,0,0,3,3,12,12,6,6,20,20
social-engineer-toolkit,34,35,66,66,2,2,63,63,0,0,0,0,1,1,2,3,2,2,51,51,22,23,44,51,7,7,44,44
sonnet,19,21,103,109,6,6,99,99,3,3,11,11,0,1,0,3,4,4,24,26,0,1,0,18,6,6,20,20
spaCy,60,68,561,567,11,13,556,556,2,2,31,56,0,1,0,7,9,13,216,225,4,5,46,55,34,34,258,256
sphinx,116,168,311,336,22,35,303,331,10,14,43,58,6,2,25,87,37,50,222,253,24,50,114,218,17,17,255,254
spiderfoot,8,12,396,412,1,3,389,404,0,0,0,0,0,0,0,0,0,1,0,210,0,1,0,12,7,7,389,388
splash,16,27,70,78,3,5,55,59,1,4,3,12,0,2,0,23,1,5,13,48,3,5,24,65,8,6,40,36
spleeter,8,10,19,21,0,0,0,0,2,2,5,6,0,1,0,2,1,1,10,10,2,3,14,15,3,3,7,7
spotipy,5,7,28,39,1,2,27,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,11
spyder,105,237,350,492,11,23,265,365,11,31,42,153,2,3,21,217,17,38,158,257,27,105,145,267,37,37,174,163
sqlalchemy,239,336,506,553,73,92,496,500,41,54,337,375,4,2,24,146,88,121,458,465,6,39,51,300,27,28,411,408
sqlmap,71,109,450,451,26,30,450,450,2,12,28,50,1,2,5,77,22,28,311,323,14,32,82,124,6,5,293,292
statsmodels,198,313,811,848,34,50,761,777,23,28,146,217,3,3,27,128,37,61,379,499,36,105,154,289,65,66,454,453
stock,2,4,5,8,0,0,0,0,0,1,0,2,0,1,0,5,0,0,0,0,0,0,0,0,2,2,5,5
Stream-Framework,23,31,73,75,2,4,70,70,5,5,19,25,2,3,5,7,7,9,43,51,5,8,18,26,2,2,4,4
streamlink,43,73,227,282,7,12,214,247,5,7,50,71,0,2,0,29,4,11,150,182,5,19,28,233,22,22,129,127
streamlit,54,103,318,319,13,15,306,307,1,42,5,52,1,1,47,67,11,14,230,233,10,13,97,100,18,18,135,135
superset,159,193,509,545,22,25,408,418,9,13,45,86,3,1,20,186,21,25,196,209,75,100,276,301,29,29,219,217
supervisor,24,32,62,65,5,8,61,61,3,4,6,8,2,1,9,24,7,10,42,47,1,3,22,53,6,6,24,23
Surprise,10,14,47,51,2,4,46,50,0,1,0,6,0,0,0,0,0,0,0,0,1,2,7,14,7,7,24,23
synapse,241,366,686,705,49,74,637,645,14,27,69,123,5,1,17,295,63,114,527,560,60,101,365,467,50,49,404,402
sync-engine,105,119,301,313,23,24,280,280,11,12,54,82,2,1,29,66,27,30,172,180,21,27,86,98,21,25,136,135
taiga-back,169,221,674,675,49,57,673,675,8,12,55,90,1,3,14,83,38,52,314,399,36,60,138,206,37,37,497,497
Tautulli,103,180,331,543,18,20,164,164,23,35,85,151,12,5,115,315,22,35,143,175,20,77,165,397,8,8,51,51
Telethon,28,52,88,115,4,6,65,86,7,8,21,28,0,2,0,43,0,3,0,51,5,20,50,89,12,13,45,43
