project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
theHarvester,0,0,0,0,502,10.06557377,0,0,0,2,23,3.454545455,NA,NA,NA,NA,0.045816733,0.343204027
thumbor,0,0,2,24,648,28.73410405,0,0,5,41,648,37.79569892,NA,NA,2.5,1.708333333,1,1.315360272
tianshou,1,177,305,430,4779,500.16,19,243.25,325,473.75,4779,562.25,19,1.374293785,1.06557377,1.101744186,1,1.124140275
tinygrad,0,0.5,75,157.5,643,120.0238095,0,1.5,91,170.5,643,135.6666667,NA,3,1.213333333,1.082539683,1,1.130331283
toolz,0,0,6,42,830,71.80645161,0,0.75,29,198.5,830,197.125,NA,NA,4.833333333,4.726190476,1,2.745226864
tornado,0,6.5,76,276,1787,215.6813187,0,4,100,322,1787,256.9333333,NA,0.615384615,1.315789474,1.166666667,1,1.191263735
tpot,0,0,3,16.75,1471,75.4047619,0,0,10,77,648,98.73333333,NA,NA,3.333333333,4.597014925,0.440516655,1.30937796
tqdm,0,0,4,53,1456,98.51724138,0,0,21.5,79.75,1102,129.2916667,NA,NA,5.375,1.504716981,0.756868132,1.312376035
tribler,0,0,0,0,483,7.076719577,0,0,0,0,483,9.47826087,NA,NA,NA,NA,1,1.339357985
troposphere,0,0,23.5,97.75,910,86.8537415,2,87.5,215,421,909,286.9090909,NA,NA,9.14893617,4.306905371,0.998901099,3.303359026
tushare,0,0,0,0,50,2.68,0,0,0,11.5,50,10.42857143,NA,NA,NA,NA,1,3.891257996
tvm,0,51.5,160,417.5,21156,471.4177215,0,115,281,623,21156,658.3829545,NA,2.233009709,1.75625,1.492215569,1,1.396602046
twisted,0,0,0,0,264,4.279559118,0,0,0,0,264,5.029619182,NA,NA,NA,NA,1,1.175265733
Ultra-Light-Fast-Generic-Face-Detector-1MB,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
umap,0,0,29,92,2438,250.2352941,0,12.25,24.5,36.75,49,24.5,NA,NA,0.844827586,0.399456522,0.020098441,0.097907851
universe,0,0,0,4,178,8.59,0,0,0,10.5,178,14.47058824,NA,NA,NA,2.625,1,1.684585359
urh,0,14.75,55.5,160.25,1154888,5329.182353,0,14.25,54,162.5,1147,133.3854962,NA,0.966101695,0.972972973,1.014040562,0.00099317,0.025029261
urllib3,0,26.25,62.5,227.75,2199,236.6818182,0,73,207,384.5,2199,381.025641,NA,2.780952381,3.312,1.688254665,1,1.609864433
virtualenv,0,28,68.5,164,921,127.1885246,0,32,112.5,202.5,921,153.5238095,NA,1.142857143,1.642335766,1.234756098,1,1.207057083
