project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
python-slack-sdk,0,1,2,4,45,3.49867374,0,2,3,6,45,4.360824742,NA,2,1.5,1.5,1,1.246422235
python-spider,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
python-telegram-bot,1,11,18,31,162,23.43197279,1,13,22.5,37.25,162,27.95348837,1,1.181818182,1.25,1.201612903,1,1.192963504
python-twitter,0,0,0,1,20,1.484848485,0,0,0,1,20,1.5,NA,NA,NA,1,1,1.010204082
pythondotorg,0,0,1,2,23,2.016666667,0,0,1,4,23,2.984848485,NA,NA,1,2,1,1.480090158
pytorch,0,1,2,8,682,12.24415888,0,1,4,18,682,22.05810398,NA,1,2,2.25,1,1.801520561
pytorch-CycleGAN-and-pix2pix,0,0,0,0,1,0.142857143,0,0,0,0,1,0.16,NA,NA,NA,NA,1,1.12
PyTorch-GAN,0,0,0,0,1,0.023809524,0,0,0,0,2,0.111111111,NA,NA,NA,NA,2,4.666666667
pytorch-image-models,0,0,0,1,9,0.827027027,0,0,0,1,9,1,NA,NA,NA,1,1,1.209150327
pytorch-lightning,0,5,15,31,712,26.07124682,0,7,17,37,712,31.26523297,NA,1.4,1.133333333,1.193548387,1,1.199222776
pytorch-metric-learning,0,0,0,1,7,0.458598726,0,0,0,1,4,0.567901235,NA,NA,NA,1,0.571428571,1.238340192
pytorch3d,0,0,0,1,9,0.360655738,0,0,0,1,9,0.544,NA,NA,NA,1,1,1.508363636
pytorch_geometric,0,0,1,57,71,22.24414716,0,0,1,57,71,21.35714286,NA,NA,1,1,1,0.960124149
PyTricks,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
pytube,1,4,6,12.25,32,9.035714286,3,5,8,13,32,10.44,3,1.25,1.333333333,1.06122449,1,1.15541502
pytype,0,0,0,0,10,0.465408805,0,0,0,1,10,0.785714286,NA,NA,NA,NA,1,1.688223938
pywal,0,1,1,2.75,7,2,1,1.75,2.5,3.25,4,2.5,NA,1.75,2.5,1.181818182,0.571428571,1.25
pywikibot,0,0,0,1,21,0.929515419,0,0,0,1,21,1.014851485,NA,NA,NA,1,1,1.091807048
pywonderland,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
qqbot,0,0,0,0,1,0.242424242,0,0,0,0.75,1,0.272727273,NA,NA,NA,NA,1,1.125
QUANTAXIS,0,0,0,0,40,0.98630137,0,0,0,0,16,0.536585366,NA,NA,NA,NA,0.4,0.54403794
qutebrowser,0,2,4,12.5,141,10.49287749,0,2,5,14,141,10.96129032,NA,1,1.25,1.12,1,1.044641027
ranger,0,0,1,3,34,2.895833333,0,0,1,5.75,34,3.818181818,NA,NA,1,1.916666667,1,1.318508829
rasa,0,1,3,13,60,8.957345972,0,2,5.5,21,60,12.77727273,NA,2,1.833333333,1.615384615,1,1.426457431
ray,0,2,5,12,577,11.26506765,0,3,7,17,577,15.74920969,NA,1.5,1.4,1.416666667,1,1.398057267
Real-Time-Voice-Cloning,0,0,1,2,9,1.41509434,0,0,1.5,2,9,2.181818182,NA,NA,1.5,1,1,1.541818182
real-url,0,0,0,0,2,0.073170732,0,0,0,0,1,0.095238095,NA,NA,NA,NA,0.5,1.301587302
recommenders,0,0,0,0,9,0.165517241,0,0,0,0,9,0.208333333,NA,NA,NA,NA,1,1.258680556
responder,0,0,0,0.5,8,0.684210526,0,0,0,1,8,1,NA,NA,NA,2,1,1.461538462
reviewboard,0,0,0,0,9,0.251677852,0,0,0,0,8,0.298507463,NA,NA,NA,NA,0.888888889,1.186069652
rich,0,0,0,0,1,0.01183432,0,0,0,0,1,0.027027027,NA,NA,NA,NA,1,2.283783784
roboto,0,0,0,0,2,0.222222222,0,0,0,0,2,0.222222222,NA,NA,NA,NA,1,1
RocAlphaGo,0,0,0,1,2,0.352941176,0,0,0,1,2,0.384615385,NA,NA,NA,1,1,1.08974359
routersploit,0,2,2,3,19,2.545714286,1,3,5,7.75,19,5.730769231,NA,1.5,2.5,2.583333333,1,2.251143918
rqalpha,0,0,0,0,3,0.243902439,0,0,0,0,2,0.233766234,NA,NA,NA,NA,0.666666667,0.958441558
rtv,0,0,1,2,10,1.170212766,0,0,1,2,10,1.314285714,NA,NA,1,1,1,1.123116883
RxPY,0,1,1,3,35,2.019851117,0,1,1,2,13,1.483146067,NA,1,1,0.666666667,0.371428571,0.734284847
sacred,0,2,4,7,52,6.5625,0,3,5,9.5,52,8.078431373,NA,1.5,1.25,1.357142857,1,1.230999066
sage,0,0,2,6,217,6.127600555,0,0,3,10,140,8.456026059,NA,NA,1.5,1.666666667,0.64516129,1.379989766
sanic,0,2,41,46,119,28.43609023,0,2,41,48,119,31.03092784,NA,1,1,1.043478261,1,1.091251561
SASM,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
saws,0,1,2,2,12,2.242424242,0,1,2,3,12,2.944444444,NA,1,1,1.5,1,1.313063063
scalene,0,0,0,2,4,0.866666667,0,0,0,0,4,0.318181818,NA,NA,NA,0,1,0.367132867
scapy,0,1,2,4,41,3.805369128,0,1,3,6,41,5.121387283,NA,1,1.5,1.5,1,1.345831932
scikit-image,0,1,3,6,39,4.941176471,0,1,3,7,39,5.467532468,NA,1,1,1.166666667,1,1.106524428
scikit-learn,0,4,9,21,226,17.15796178,1,7,15,29,226,24.30396476,NA,1.75,1.666666667,1.380952381,1,1.416483208
scipy,0,1,2,6,120,5.216569767,0,1,3,8,120,6.867875648,NA,1,1.5,1.333333333,1,1.316550138
