project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
walle-web,0,0,0,1,8,0.675675676,0,0,0,1,8,0.787878788,NA,NA,NA,1,1,1.166060606
WeasyPrint,0,0,1,3.25,49,4.12037037,0,0,1,7,49,5.626865672,NA,NA,1,2.153846154,1,1.365621332
websockets,0,0,2,4.75,27,3.327586207,0,0,2,5.75,27,4.078947368,NA,NA,1,1.210526316,1,1.225797655
wechat_jump_game,1,1,1,5,29,4.266666667,1,1,1,1,1,1,1,1,1,0.2,0.034482759,0.234375
weibospider,0,0,0,0,1,0.041666667,0,0,0,0,1,0.105263158,NA,NA,NA,NA,1,2.526315789
werkzeug,0,0,0,1,24,1.270491803,0,0,0,2,24,2.368421053,NA,NA,NA,2,1,1.86417657
wfuzz,0,1,1,2,9,1.37037037,0,1,1,2,9,1.53125,NA,1,1,1,1,1.117398649
whoogle-search,1,4.5,8,20.5,41,12.53333333,4,9.75,22,23.75,41,19.83333333,4,2.166666667,2.75,1.158536585,1,1.582446809
wifiphisher,0,0,0,4.25,33,4.714285714,0,0,1.5,11.75,33,6.333333333,NA,NA,NA,2.764705882,1,1.343434343
wifite2,1,1,3,4,21,3.577777778,1,1.75,3,4,21,3.78125,1,1.75,1,1,1,1.056871118
wxpy,0,0,0,0,1,0.052631579,0,0,0,0,1,0.038461538,NA,NA,NA,NA,1,0.730769231
xadmin,0,0,0,1,5,0.53125,0,0,0,1,5,0.636363636,NA,NA,NA,1,1,1.197860963
xonsh,0,1,3,6,54,5.279069767,0,2,4,8,54,6.6640625,NA,2,1.333333333,1.333333333,1,1.262355452
yapf,0,1.5,6,15.5,57,11.08510638,4,8.25,17.5,31.25,57,22.07142857,NA,5.5,2.916666667,2.016129032,1,1.991088566
yellowbrick,1,4,8,15,46,11.34705882,1,6,12,21.25,46,14.36538462,1,1.5,1.5,1.416666667,1,1.266000718
yolov5,3,13.75,22.5,84.25,261,59.33333333,2,15.5,28,84.5,261,63.31578947,0.666666667,1.127272727,1.244444444,1.002967359,1,1.067120047
YOLOX,0,1,2,5,11,3.052631579,0,3,5,7.5,11,5.193548387,NA,3,2.5,1.5,1,1.701334816
you-get,0,0,0,2,56,2.764227642,0,0,3,11,56,9.173913043,NA,NA,NA,5.5,1,3.318797954
YouCompleteMe,0,0,0,2,22,1.666666667,0,0,0,2,22,3,NA,NA,NA,1,1,1.8
yowsup,0,0,0,1,21,0.913946588,0,0,0,2,21,1.263157895,NA,NA,NA,2,1,1.382091593
YYeTsBot,0,0,0,1,2,0.6,0,0,0,0,1,0.214285714,NA,NA,NA,0,0.5,0.357142857
Zappa,0,0,2,5,53,6.315789474,0,2,2,14.5,53,12.57142857,NA,NA,1,2.9,1,1.99047619
zipline,0,0,0,1,16,0.773584906,0,0,0,1,16,1.053571429,NA,NA,NA,1,1,1.361933798
bitbake,0,0,0,1,46,2.891891892,0,0,1,7,191,8.927007299,NA,NA,NA,7,4.152173913,3.086909066
boto,0,0,0,0,7,0.343137255,0,0,0,1,34,1.433823529,NA,NA,NA,NA,4.857142857,4.178571429
calibre,0,0,0,1,36,1.389830508,0,0,2,5,174,5.179633867,NA,NA,NA,5,4.833333333,3.726809734
cassandra-dtest,0,0,2,5,20,3.151260504,0,0,2,7.25,21,4.5625,NA,NA,1,1.45,1.05,1.447833333
celery,0,0,1,4.5,47,3.658227848,0,1,3,9,102,8.262443439,NA,NA,3,2,2.170212766,2.258591805
cerbero,0,0,0,0,0,0,0,0,0,0,1,0.012658228,NA,NA,NA,NA,NA,NA
certbot,0,1,4,11,87,9.938271605,0,3,10,24.5,113,17.57746479,NA,3,2.5,2.227272727,1.298850575,1.768664159
ChatterBot,0,0,0,0,2,0.191489362,0,0,0,1,4,0.511627907,NA,NA,NA,NA,2,2.671834625
cheetah,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
cherrypy,0,0,0,1,12,1.545454545,0,2,6,17,101,12.19753086,NA,NA,NA,17,8.416666667,7.892519971
cobbler,0,0,0,0,6,0.457142857,0,1,1,3,28,3.253731343,NA,NA,NA,NA,4.666666667,7.117537313
codespeed,0,0,0,0.75,3,0.428571429,0,0,0,1,9,1.214285714,NA,NA,NA,1.333333333,3,2.833333333
django,0,2,3,7,273,7.176913425,0,4,10,27,430,25.37037037,NA,2,3.333333333,3.857142857,1.575091575,3.53499741
gramps,0,0,0,0,13,0.263027295,0,0,0,2,24,1.752547307,NA,NA,NA,NA,1.846153846,6.66298646
XX-Net,0,0,0,0,10,0.087671233,0,0,0,0,13,0.262008734,NA,NA,NA,NA,1.3,2.988537118
zulip,0,0,1,2,96,2.06231454,0,0,1,6,143,6.125412541,NA,NA,1,3,1.489583333,2.970164067
